County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,10,185,151,31,0.794701987,0.8080808079999999,0.761904762,416.4474,40.722720720720716
Bomet,25,429,386,87,0.7746113990000001,0.780082988,0.7867647059999999,,36.0
Bungoma,36,1023,1115,217,0.805381166,0.828229028,0.747774481,,40.722720720720716
Busia,28,2620,1758,326,0.8145620020000001,0.825828377,0.796703297,,40.722720720720716
Elgeyo Marakwet,15,219,136,28,0.794117647,0.793103448,0.808510638,,40.722720720720716
Embu,18,640,311,51,0.836012862,0.8227272729999999,0.873417722,,40.722720720720716
Garissa,5,66,24,4,0.833333333,0.7692307690000001,0.9,227.0119,40.722720720720716
Homa Bay,140,5368,3868,712,0.815925543,0.8282352940000001,0.7892156859999999,,40.722720720720716
Isiolo,3,54,49,12,0.7551020409999999,0.75,0.75,,40.722720720720716
Kajiado,14,445,445,113,0.7460674159999999,0.768253968,0.692982456,,40.0
Kakamega,74,2722,1534,251,0.836375489,0.8444444440000001,0.8117359409999999,,37.14
Kericho,34,766,705,154,0.7815602840000001,0.7989417990000001,0.828877005,,40.722720720720716
Kiambu,37,1583,1261,173,0.862807296,0.876923077,0.845144357,,40.0
Kilifi,19,714,696,104,0.850574713,0.848410758,0.905325444,,40.722720720720716
Kirinyaga,12,689,883,131,0.851642129,0.855917667,0.890688259,,40.722720720720716
Kisii,85,1735,1525,362,0.762622951,0.784784785,0.764705882,,40.722720720720716
Kisumu,97,7050,5885,974,0.834494477,0.853532609,0.829515184,,40.722720720720716
Kitui,39,951,552,131,0.7626811590000001,0.792105263,0.7027027029999999,,40.722720720720716
Kwale,19,270,238,64,0.731092437,0.7986111109999999,0.621621622,,32.5
Laikipia,6,347,244,41,0.831967213,0.9032258059999999,0.8,,40.722720720720716
Lamu,7,102,54,13,0.759259259,0.666666667,0.8888888890000001,14.9996,40.722720720720716
Machakos,39,1067,779,146,0.812580231,0.8405511809999999,0.777272727,,40.722720720720716
Makueni,38,1234,487,90,0.8151950720000001,0.842105263,0.779661017,,40.722720720720716
Mandera,0,0,0,0,,,,142.5338,40.722720720720716
Marsabit,3,17,26,5,0.807692308,0.75,0.9,133.4635,38.5
Meru,39,1549,801,130,0.837702871,0.838582677,0.843220339,,40.722720720720716
Migori,97,4228,3976,537,0.864939638,0.869776876,0.849122807,,30.43
Mombasa,36,2442,3821,666,0.8257000790000001,0.844128489,0.79976985,,40.722720720720716
Muranga,23,634,1028,142,0.861867704,0.8496,0.8608414240000001,,40.722720720720716
Nairobi,131,6980,7683,1001,0.8697123520000001,0.874166487,0.861185984,,40.722720720720716
Nakuru,35,897,773,174,0.774902975,0.7826086959999999,0.7620967740000001,,40.722720720720716
Nandi,22,349,403,95,0.76426799,0.781132075,0.765217391,,40.722720720720716
Narok,24,317,309,76,0.754045307,0.765258216,0.781609195,,40.722720720720716
Nyamira,45,648,379,78,0.794195251,0.8467153279999999,0.704761905,,40.722720720720716
Nyandarua,22,527,378,63,0.833333333,0.8125,0.873786408,,40.722720720720716
Nyeri,30,1692,1238,145,0.8828756059999999,0.89373297,0.843260188,,52.54
Samburu,2,9,19,3,0.842105263,0.833333333,0.8,192.4498,40.722720720720716
Siaya,125,3209,4492,852,0.810329475,0.815916955,0.7949419,,29.81
Taita Taveta,20,396,429,90,0.79020979,0.7798507459999999,0.783018868,,40.722720720720716
Tana River,7,45,42,13,0.69047619,0.666666667,0.75,7.1337,40.722720720720716
Tharaka Nithi,15,260,243,51,0.7901234570000001,0.846625767,0.7241379309999999,,40.722720720720716
Trans Nzoia,12,711,510,131,0.743137255,0.7384196190000001,0.764705882,,40.722720720720716
Turkana,16,383,282,106,0.624113475,0.660606061,0.576470588,,40.722720720720716
Uasin Gishu,19,1570,1528,438,0.713350785,0.718923933,0.698630137,663.7218,40.722720720720716
Vihiga,22,1114,597,97,0.8375209379999999,0.844611529,0.8191489359999999,,40.722720720720716
Wajir,1,0,22,7,0.681818182,0.636363636,0.7777777779999999,128.8663,40.722720720720716
West Pokot,8,147,183,47,0.743169399,0.744360902,0.739130435,442.1728,40.722720720720716
