County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,16,256,264,77,0.708333333,0.809859155,0.775,732.5033,40.722720720720716
Bomet,47,705,591,111,0.812182741,0.83902439,0.7852760740000001,,40.722720720720716
Bungoma,70,1440,1588,377,0.7625944579999999,0.8018779340000001,0.745679012,,40.722720720720716
Busia,57,2151,2270,471,0.7925110129999999,0.82369338,0.781524927,,40.722720720720716
Elgeyo Marakwet,28,231,238,75,0.68487395,0.703703704,0.745454545,,40.722720720720716
Embu,26,611,515,93,0.8194174759999999,0.853731343,0.796052632,,40.722720720720716
Garissa,4,54,43,8,0.813953488,0.9,0.666666667,285.9599,40.722720720720716
Homa Bay,181,9155,10514,1401,0.8667490959999999,0.894030069,0.846153846,,40.722720720720716
Isiolo,5,75,106,33,0.688679245,0.72972973,0.580645161,,40.722720720720716
Kajiado,25,816,737,130,0.823609227,0.90021692,0.892018779,,42.33
Kakamega,141,3253,4030,721,0.821091811,0.867413993,0.824928639,,37.5
Kericho,35,1175,1006,171,0.8300198809999999,0.8842105259999999,0.82078853,,40.722720720720716
Kiambu,61,3296,2166,239,0.889658356,0.8860589809999999,0.905775076,,50.0
Kilifi,44,1635,1562,283,0.818822023,0.843189964,0.7557603690000001,,40.722720720720716
Kirinyaga,33,805,623,75,0.8796147670000001,0.896470588,0.846153846,,40.722720720720716
Kisii,113,2702,2599,337,0.8703347440000001,0.88625069,0.859854015,,40.722720720720716
Kisumu,131,9057,9358,1356,0.855097243,0.88436867,0.846673782,,40.722720720720716
Kitui,74,1566,1472,324,0.7798913040000001,0.849329205,0.816770186,,40.722720720720716
Kwale,27,492,390,100,0.7435897440000001,0.745454545,0.747747748,,50.0
Laikipia,23,550,531,115,0.783427495,0.857142857,0.801369863,,40.722720720720716
Lamu,9,140,166,43,0.740963855,0.7522123890000001,0.711538462,57.1826,40.722720720720716
Machakos,61,2114,2140,400,0.8130841120000001,0.90063593,0.872340426,,40.722720720720716
Makueni,61,1536,1402,244,0.82596291,0.890829694,0.8645161290000001,,40.722720720720716
Mandera,2,39,38,11,0.7105263159999999,0.791666667,0.538461538,177.8229,40.722720720720716
Marsabit,5,45,49,16,0.673469388,0.7419354840000001,0.571428571,182.3993,70.0
Meru,46,1299,1228,238,0.806188925,0.825338253,0.8096590909999999,,40.722720720720716
Migori,116,5969,5913,757,0.871977,0.8937784520000001,0.859293573,,38.72
Mombasa,52,3017,3063,500,0.836761345,0.838086032,0.8520833329999999,,40.722720720720716
Muranga,38,1353,879,87,0.9010238909999999,0.9173553720000001,0.8807692309999999,,40.722720720720716
Nairobi,176,12921,13085,2165,0.83454337,0.853771898,0.8298119340000001,,40.722720720720716
Nakuru,79,2693,2543,392,0.845851357,0.8890236509999999,0.870794078,,40.722720720720716
Nandi,25,854,815,133,0.8368098159999999,0.853448276,0.830985915,,40.722720720720716
Narok,30,593,469,103,0.780383795,0.828947368,0.848739496,,40.722720720720716
Nyamira,79,1123,1088,250,0.7702205879999999,0.801664355,0.763333333,,40.722720720720716
Nyandarua,28,879,372,54,0.85483871,0.905172414,0.8691588790000001,,40.722720720720716
Nyeri,32,1369,1256,118,0.906050955,0.924705882,0.880208333,,70.0
Samburu,5,33,40,23,0.425,0.56,0.333333333,248.8556,40.722720720720716
Siaya,140,8643,8003,1852,0.76858678,0.81055962,0.750910747,,31.86
Taita Taveta,27,332,337,97,0.712166172,0.7111111109999999,0.7247706420000001,,40.722720720720716
Tana River,7,56,79,20,0.7468354429999999,0.763636364,0.708333333,43.6058,40.722720720720716
Tharaka Nithi,15,459,446,92,0.793721973,0.818181818,0.795774648,,40.722720720720716
Trans Nzoia,26,808,868,196,0.774193548,0.8244575940000001,0.791111111,,40.722720720720716
Turkana,29,548,526,198,0.623574144,0.707482993,0.6305732479999999,,58.33
Uasin Gishu,31,1955,1937,421,0.782653588,0.838086477,0.805607477,1115.4381,40.722720720720716
Vihiga,43,1136,1494,277,0.8145916999999999,0.886133033,0.844339623,,40.722720720720716
Wajir,1,36,34,5,0.852941176,0.857142857,0.818181818,175.2691,40.722720720720716
West Pokot,9,167,167,28,0.8323353290000001,0.88,0.8666666670000001,705.7560000000002,40.722720720720716
