County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,12,272,318,79,0.751572327,0.769607843,0.736842105,496.9725,40.722720720720716
Bomet,42,610,467,125,0.732334047,0.76109215,0.716981132,,3.0060000000000002
Bungoma,59,1492,1705,325,0.809384164,0.8208333329999999,0.8018018020000001,,40.722720720720716
Busia,45,3417,2926,702,0.7600820229999999,0.776267642,0.731343284,,40.722720720720716
Elgeyo Marakwet,20,271,314,77,0.75477707,0.763392857,0.7356321840000001,,40.722720720720716
Embu,24,744,1114,186,0.8330341109999999,0.831506849,0.834375,,40.722720720720716
Garissa,7,97,102,27,0.735294118,0.732142857,0.852941176,203.2508,40.722720720720716
Homa Bay,173,7597,6935,1048,0.84888248,0.865034662,0.831047992,,40.722720720720716
Isiolo,4,101,177,39,0.779661017,0.7899159659999999,0.773584906,,40.722720720720716
Kajiado,23,809,1046,214,0.79541109,0.804195804,0.7563636359999999,,36.96
Kakamega,118,3623,2753,471,0.828913912,0.850964348,0.79943899,,38.46
Kericho,35,884,871,158,0.8185993109999999,0.8160714290000001,0.832116788,,40.722720720720716
Kiambu,42,2813,2894,362,0.874913614,0.89015544,0.848060345,,40.0
Kilifi,47,3954,3129,563,0.82007031,0.829577465,0.819694868,,40.722720720720716
Kirinyaga,11,724,723,122,0.831258645,0.8458149779999999,0.848484848,,40.722720720720716
Kisii,110,2344,1218,236,0.8062397370000001,0.820638821,0.795977011,,40.722720720720716
Kisumu,114,8530,9245,1425,0.845862628,0.862948478,0.826237452,,40.722720720720716
Kitui,71,1925,2378,387,0.8372582000000001,0.851671733,0.80483871,,40.722720720720716
Kwale,34,1285,999,199,0.800800801,0.8024691359999999,0.78125,,38.42
Laikipia,20,690,951,138,0.85488959,0.8698830409999999,0.829365079,,40.722720720720716
Lamu,8,183,167,48,0.71257485,0.706521739,0.7536231879999999,0.7097,40.722720720720716
Machakos,53,1754,2349,364,0.8450404429999999,0.8508604209999999,0.833881579,,40.722720720720716
Makueni,56,1138,1543,262,0.830200907,0.8499005959999999,0.791154791,,40.722720720720716
Mandera,0,0,0,0,,,,172.2459,40.722720720720716
Marsabit,7,105,94,18,0.808510638,0.826086957,0.761904762,184.909,38.04
Meru,48,1412,1600,281,0.824375,0.8568646540000001,0.790697674,,40.722720720720716
Migori,108,5830,4917,539,0.890380313,0.89483871,0.890635232,,38.89
Mombasa,46,3110,2844,522,0.8164556959999999,0.82160129,0.808773903,,40.722720720720716
Muranga,30,879,937,160,0.8292422629999999,0.8350983359999999,0.819548872,,40.722720720720716
Nairobi,152,11878,13407,2704,0.798314313,0.810645724,0.7826193990000001,,40.722720720720716
Nakuru,75,2356,2845,477,0.832337434,0.835040984,0.833723653,,40.722720720720716
Nandi,22,872,806,181,0.775434243,0.796791444,0.7389380529999999,,40.722720720720716
Narok,33,528,598,177,0.704013378,0.719211823,0.6993865029999999,,40.722720720720716
Nyamira,91,1668,1576,325,0.793781726,0.8006134970000001,0.798219585,,40.722720720720716
Nyandarua,22,474,608,82,0.865131579,0.87037037,0.880208333,,40.722720720720716
Nyeri,31,1525,1240,165,0.8669354840000001,0.8838028170000001,0.840540541,,36.67
Samburu,3,80,138,47,0.65942029,0.655913978,0.666666667,223.3011,40.722720720720716
Siaya,135,6128,8957,1690,0.811320755,0.82249742,0.8032074840000001,,34.66
Taita Taveta,35,906,831,181,0.782190132,0.7968127490000001,0.770642202,,40.722720720720716
Tana River,8,59,111,31,0.720720721,0.671232877,0.8,0.0167,40.722720720720716
Tharaka Nithi,16,710,905,140,0.845303867,0.85016835,0.84057971,,40.722720720720716
Trans Nzoia,20,1050,1120,224,0.8,0.825031928,0.752411576,,40.722720720720716
Turkana,26,538,761,270,0.645203679,0.69451074,0.5822222220000001,,40.722720720720716
Uasin Gishu,27,2612,2836,617,0.782440056,0.7957639940000001,0.7717528370000001,680.1049,40.722720720720716
Vihiga,37,1095,919,180,0.804134929,0.829508197,0.763157895,,40.722720720720716
Wajir,2,16,17,3,0.8235294120000001,0.7857142859999999,1.0,161.784,40.722720720720716
West Pokot,11,209,237,42,0.82278481,0.85915493,0.7701149429999999,477.8767,40.722720720720716
