County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,8,61,141,38,0.7304964540000001,0.71641791,0.7105263159999999,12.9991,40.722720720720716
Bomet,31,739,702,172,0.754985755,0.766816143,0.725738397,,30.8
Bungoma,32,667,739,143,0.806495264,0.792079208,0.8,,40.722720720720716
Busia,33,1984,2718,435,0.83995585,0.875,0.8767123290000001,,40.722720720720716
Elgeyo Marakwet,5,50,61,7,0.8852459020000001,0.904761905,0.882352941,,40.722720720720716
Embu,12,374,476,89,0.81302521,0.838607595,0.748031496,,40.722720720720716
Garissa,5,52,68,17,0.75,0.745098039,1.0,0.0272,40.722720720720716
Homa Bay,123,3392,6007,903,0.849675379,0.857142857,0.8388650959999999,,40.722720720720716
Isiolo,2,8,22,0,1.0,1.0,1.0,,40.722720720720716
Kajiado,15,246,326,89,0.726993865,0.7419354840000001,0.6813186809999999,,40.0
Kakamega,49,662,918,143,0.84422658,0.685714286,0.428571429,,27.27
Kericho,34,882,1136,246,0.783450704,0.784313725,0.833333333,,40.722720720720716
Kiambu,22,1505,1110,162,0.854054054,0.666666667,0.7142857140000001,,40.0
Kilifi,10,232,383,79,0.793733681,0.7768240340000001,0.8252427179999999,,40.722720720720716
Kirinyaga,5,332,341,52,0.847507331,0.666666667,0.666666667,,40.722720720720716
Kisii,81,1845,892,209,0.765695067,0.77919708,0.739726027,,40.722720720720716
Kisumu,78,4954,7413,1210,0.836773236,0.8518425040000001,0.823725982,,40.722720720720716
Kitui,37,600,726,167,0.7699724520000001,0.803964758,0.7207792209999999,,40.722720720720716
Kwale,4,36,22,8,0.636363636,1.0,1.0,,38.89
Laikipia,9,209,310,47,0.848387097,0.84,0.692307692,,40.722720720720716
Lamu,2,14,0,0,,,,212.7629,40.722720720720716
Machakos,42,496,623,118,0.8105939,0.7924107140000001,0.776470588,,40.722720720720716
Makueni,37,454,446,89,0.80044843,0.7918552040000001,0.736842105,,40.722720720720716
Mandera,0,0,0,0,,,,0.0,40.722720720720716
Marsabit,3,13,27,9,0.666666667,0.875,0.7142857140000001,0.0,41.75
Meru,18,947,1024,122,0.880859375,0.887043189,0.8685121109999999,,40.722720720720716
Migori,82,2943,4458,712,0.840287124,0.841205578,0.828181818,,28.0
Mombasa,29,747,736,168,0.77173913,0.8692810459999999,0.768421053,,40.722720720720716
Muranga,11,213,240,43,0.8208333329999999,0.8888888890000001,1.0,,40.722720720720716
Nairobi,86,4049,3750,568,0.848533333,0.844051447,0.866900175,,40.722720720720716
Nakuru,27,755,782,145,0.814578005,0.809090909,0.7922705309999999,,40.722720720720716
Nandi,21,848,830,181,0.7819277109999999,0.79144385,0.7826086959999999,,40.722720720720716
Narok,23,308,383,120,0.686684073,0.7300884959999999,0.615384615,,40.722720720720716
Nyamira,36,294,574,101,0.824041812,0.739130435,0.7,,40.722720720720716
Nyandarua,18,277,301,58,0.80730897,0.8626373629999999,0.7551020409999999,,40.722720720720716
Nyeri,17,587,677,100,0.852289513,0.6875,0.533333333,,38.89
Samburu,0,0,10,5,0.5,0.333333333,0.75,0.0329,40.722720720720716
Siaya,120,3106,4665,1036,0.777920686,0.780969479,0.7392183290000001,,27.23
Taita Taveta,1,100,49,13,0.734693878,1.0,,,40.722720720720716
Tana River,5,49,58,16,0.7241379309999999,0.7555555559999999,0.615384615,290.6716,40.722720720720716
Tharaka Nithi,14,435,476,95,0.8004201679999999,0.795986622,0.828571429,,40.722720720720716
Trans Nzoia,8,710,416,70,0.8317307690000001,0.845878136,0.801526718,,40.722720720720716
Turkana,9,50,92,42,0.543478261,0.7142857140000001,0.5625,,40.722720720720716
Uasin Gishu,15,2755,2247,388,0.827325323,0.837837838,0.815405046,2.4088,40.722720720720716
Vihiga,13,290,386,67,0.82642487,,,,40.722720720720716
Wajir,0,0,0,0,,,,0.0,40.722720720720716
West Pokot,6,55,48,4,0.916666667,0.9117647059999999,0.916666667,12.044,40.722720720720716
