County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,14,295,205,62,0.6975609759999999,0.7172413790000001,0.65,644.3947,40.722720720720716
Bomet,44,625,712,157,0.779494382,0.7938775509999999,0.762376238,,36.0
Bungoma,54,1124,1163,238,0.795356836,0.803617571,0.806962025,,40.722720720720716
Busia,32,1233,1308,349,0.7331804279999999,0.761176471,0.685520362,,40.722720720720716
Elgeyo Marakwet,19,134,138,36,0.739130435,0.742574257,0.72972973,,40.722720720720716
Embu,21,570,566,101,0.82155477,0.82396088,0.8243243240000001,,40.722720720720716
Garissa,6,77,75,14,0.813333333,0.8214285709999999,0.7894736840000001,203.9382,40.722720720720716
Homa Bay,163,6259,7000,1083,0.8452857140000001,0.853183838,0.856121963,,40.722720720720716
Isiolo,4,96,39,11,0.7179487179999999,0.740740741,0.666666667,,40.722720720720716
Kajiado,24,741,638,131,0.7946708459999999,0.79498861,0.807909605,,45.0
Kakamega,113,2410,2121,400,0.811409712,0.8401433690000001,0.7947454840000001,,24.4
Kericho,35,892,995,187,0.812060302,0.830696203,0.81875,,40.722720720720716
Kiambu,56,2975,2634,370,0.859529233,0.8653631279999999,0.8508557459999999,,40.0
Kilifi,32,1007,767,151,0.8031290740000001,0.813253012,0.7782258059999999,,40.722720720720716
Kirinyaga,12,671,765,117,0.8470588240000001,0.869473684,0.879581152,,40.722720720720716
Kisii,107,1961,2662,540,0.7971450040000001,0.829308452,0.795631825,,40.722720720720716
Kisumu,116,5558,6236,1149,0.815747274,0.832200732,0.819087572,,40.722720720720716
Kitui,34,923,784,144,0.816326531,0.8408679929999999,0.76146789,,40.722720720720716
Kwale,21,332,228,45,0.802631579,0.8024691359999999,0.8196721309999999,,38.89
Laikipia,17,418,405,56,0.861728395,0.866425993,0.8699186990000001,,40.722720720720716
Lamu,11,159,17,0,1.0,1.0,1.0,8.0797,40.722720720720716
Machakos,47,1401,1215,216,0.8222222220000001,0.828437133,0.804804805,,40.722720720720716
Makueni,41,1394,1005,115,0.8855721390000001,0.9101620029999999,0.834532374,,40.722720720720716
Mandera,0,0,1,0,1.0,,1.0,172.2468,40.722720720720716
Marsabit,2,6,16,6,0.625,0.666666667,0.5,187.6919,40.0
Meru,31,763,855,120,0.859649123,0.865646259,0.852320675,,40.722720720720716
Migori,105,3941,4572,618,0.864829396,0.8759663870000001,0.8713155999999999,,30.43
Mombasa,39,2457,3466,602,0.826312752,0.8301647659999999,0.818965517,,40.722720720720716
Muranga,32,1009,889,138,0.8447694040000001,0.837662338,0.873134328,,40.722720720720716
Nairobi,141,11375,9742,1661,0.8295011290000001,0.845239981,0.814462417,,40.722720720720716
Nakuru,69,2688,2605,552,0.788099808,0.803733032,0.768261965,,40.722720720720716
Nandi,22,675,823,186,0.77399757,0.805293006,0.7777777779999999,,40.722720720720716
Narok,33,553,454,119,0.737885463,0.773333333,0.754237288,,40.722720720720716
Nyamira,79,798,1046,266,0.745697897,0.777927322,0.7100840340000001,,40.722720720720716
Nyandarua,30,664,517,85,0.835589942,0.860795455,0.7867647059999999,,40.722720720720716
Nyeri,31,1112,1169,163,0.860564585,0.860635697,0.859281437,,47.62
Samburu,2,18,3,0,1.0,1.0,1.0,236.1818,40.722720720720716
Siaya,124,2772,2601,609,0.765859285,0.782816229,0.7735618120000001,,29.81
Taita Taveta,32,469,315,65,0.793650794,0.790243902,0.805825243,,40.722720720720716
Tana River,6,49,36,14,0.611111111,0.6315789470000001,0.588235294,1.028,40.722720720720716
Tharaka Nithi,16,504,438,81,0.815068493,0.835164835,0.7762237759999999,,40.722720720720716
Trans Nzoia,19,854,831,228,0.725631769,0.763059701,0.716666667,,40.722720720720716
Turkana,29,491,630,226,0.6412698410000001,0.6712707179999999,0.641025641,,40.722720720720716
Uasin Gishu,25,1761,1823,566,0.689522765,0.723672367,0.72080292,1003.7094,40.722720720720716
Vihiga,27,559,421,71,0.8313539190000001,0.856115108,0.844262295,,40.722720720720716
Wajir,2,14,14,4,0.7142857140000001,0.75,0.8,162.2224,40.722720720720716
West Pokot,8,81,97,16,0.835051546,0.8615384620000001,0.774193548,596.8549,40.722720720720716
