County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,8,117,129,44,0.658914729,0.75,0.545454545,24.5478,40.722720720720716
Bomet,21,601,806,188,0.76674938,0.789189189,0.718487395,,31.0
Bungoma,41,680,717,169,0.7642956759999999,0.814371257,0.8270676690000001,,40.722720720720716
Busia,41,2531,2605,523,0.799232246,0.89,0.8292682929999999,,40.722720720720716
Elgeyo Marakwet,6,35,9,1,0.8888888890000001,1.0,0.5,,40.722720720720716
Embu,16,466,454,69,0.8480176209999999,0.85046729,0.845454545,,40.722720720720716
Garissa,6,118,115,17,0.852173913,0.855263158,0.828571429,0.4428,40.722720720720716
Homa Bay,140,4710,4118,806,0.8042739190000001,0.8210151379999999,0.797029703,,40.722720720720716
Isiolo,3,65,54,3,0.944444444,0.9736842109999999,0.846153846,,40.722720720720716
Kajiado,14,542,543,95,0.8250460409999999,0.8435897440000001,0.768707483,,40.0
Kakamega,72,2038,1805,424,0.765096953,0.7692307690000001,0.7142857140000001,,30.39
Kericho,32,904,1061,228,0.7851083879999999,0.812703583,0.7976878609999999,,40.722720720720716
Kiambu,20,1490,1398,158,0.886981402,0.833333333,0.625,,40.0
Kilifi,7,327,323,65,0.79876161,0.8039215690000001,0.7654320990000001,,40.722720720720716
Kirinyaga,6,208,259,45,0.8262548259999999,0.701754386,0.875,,40.722720720720716
Kisii,88,2272,2802,561,0.799785867,0.82428115,0.7538035959999999,,40.722720720720716
Kisumu,91,6085,5272,767,0.8545144159999999,0.8585178059999999,0.856815578,,40.722720720720716
Kitui,44,799,813,170,0.790897909,0.8242753620000001,0.7025641029999999,,40.722720720720716
Kwale,2,4,14,2,0.857142857,0.875,1.0,,38.75
Laikipia,11,154,200,38,0.81,0.75862069,0.75,,40.722720720720716
Lamu,0,0,0,0,,,,224.0263,40.722720720720716
Machakos,34,566,617,118,0.808752026,0.814968815,0.7923076920000001,,40.722720720720716
Makueni,33,488,516,134,0.7403100779999999,0.760416667,0.7192982459999999,,40.722720720720716
Mandera,0,0,0,0,,,,0.0039,40.722720720720716
Marsabit,4,79,70,15,0.7857142859999999,0.8125,0.736842105,2.028,38.0
Meru,28,780,793,119,0.849936948,0.8709016390000001,0.8243243240000001,,40.722720720720716
Migori,97,3029,3218,642,0.8004972029999999,0.8018617020000001,0.784338896,,32.0
Mombasa,20,632,863,212,0.754345307,0.825892857,0.7657657659999999,,40.722720720720716
Muranga,13,290,189,25,0.8677248679999999,0.875,0.5,,40.722720720720716
Nairobi,100,3325,3519,554,0.8425689120000001,0.834731544,0.843462247,,40.722720720720716
Nakuru,34,1047,1100,205,0.8136363640000001,0.8183098590000001,0.798107256,,40.722720720720716
Nandi,18,650,793,168,0.78814628,0.810760668,0.7606837609999999,,40.722720720720716
Narok,25,555,362,86,0.762430939,0.796296296,0.79245283,,40.722720720720716
Nyamira,47,785,677,146,0.784342688,0.75,0.692307692,,40.722720720720716
Nyandarua,19,224,312,64,0.794871795,0.82278481,0.7875,,40.722720720720716
Nyeri,9,157,390,51,0.8692307690000001,0.804347826,0.833333333,,42.73
Samburu,3,72,53,12,0.773584906,0.7428571429999999,0.882352941,5.2268,40.722720720720716
Siaya,124,4936,4536,939,0.792989418,0.7896965420000001,0.767337808,,27.23
Taita Taveta,3,37,30,8,0.7333333329999999,0.736842105,0.666666667,,40.722720720720716
Tana River,2,38,44,20,0.545454545,0.545454545,0.6,305.9387,40.722720720720716
Tharaka Nithi,12,191,228,51,0.7763157890000001,0.784172662,0.764705882,,40.722720720720716
Trans Nzoia,10,709,598,90,0.849498328,0.8379746840000001,0.87434555,,40.722720720720716
Turkana,15,263,361,139,0.614958449,0.6122448979999999,0.611940299,,40.722720720720716
Uasin Gishu,18,2726,2011,342,0.8299353559999999,0.8235765840000001,0.838848921,16.3868,40.722720720720716
Vihiga,21,702,504,100,0.8015873020000001,,,,40.722720720720716
Wajir,1,21,21,5,0.761904762,0.9090909090000001,0.625,0.124,40.722720720720716
West Pokot,6,77,47,0,1.0,1.0,1.0,24.6848,40.722720720720716
