County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,10,221,413,112,0.7288135590000001,0.738675958,0.7190082640000001,0.0295,40.722720720720716
Bomet,40,569,460,108,0.765217391,0.797468354,0.7122302159999999,,40.722720720720716
Bungoma,50,1202,1324,435,0.6714501509999999,0.725653207,0.632478632,,40.722720720720716
Busia,39,2457,3199,1041,0.674585808,0.709379805,0.664009112,,40.722720720720716
Elgeyo Marakwet,17,176,180,59,0.672222222,0.75,0.6,,40.722720720720716
Embu,20,450,677,152,0.775480059,0.7894736840000001,0.7311827959999999,,40.722720720720716
Garissa,4,32,65,19,0.7076923079999999,0.780487805,0.666666667,0.0,40.722720720720716
Homa Bay,169,8023,7391,1517,0.794750372,0.829288529,0.764840183,,40.722720720720716
Isiolo,3,25,29,6,0.793103448,0.882352941,0.636363636,,40.722720720720716
Kajiado,22,654,1454,375,0.7420907840000001,0.74893617,0.7540229890000001,,47.69
Kakamega,92,2644,3077,914,0.7029574259999999,0.752899647,0.704463209,,41.92
Kericho,30,1010,735,141,0.808163265,0.8226804120000001,0.8302752290000001,,40.722720720720716
Kiambu,57,2235,2149,358,0.833410889,0.847012475,0.8,,40.0
Kilifi,48,1845,410,77,0.812195122,0.8265682659999999,0.775193798,,40.722720720720716
Kirinyaga,27,906,955,128,0.8659685859999999,0.884259259,0.8684210529999999,,40.722720720720716
Kisii,95,1839,966,167,0.8271221529999999,0.8624,0.823104693,,40.722720720720716
Kisumu,122,7607,6760,1434,0.787869822,0.816520294,0.8018590999999999,,40.722720720720716
Kitui,58,1697,1707,342,0.7996485059999999,0.8285004140000001,0.732905983,,40.722720720720716
Kwale,38,831,203,49,0.75862069,0.80141844,0.672131148,,44.2
Laikipia,14,304,736,156,0.788043478,0.810379242,0.745614035,,40.722720720720716
Lamu,11,199,68,16,0.764705882,0.7551020409999999,0.7894736840000001,67.1786,40.722720720720716
Machakos,51,1353,2098,379,0.8193517640000001,0.8383035120000001,0.76882662,,40.722720720720716
Makueni,47,1056,1868,322,0.827623126,0.846153846,0.807984791,,40.722720720720716
Mandera,0,0,41,16,0.609756098,0.692307692,0.5,0.0,40.722720720720716
Marsabit,1,38,46,3,0.9347826090000001,0.9259259259999999,0.933333333,0.0,0.0
Meru,36,692,1700,335,0.8029411759999999,0.812062937,0.7945205479999999,,40.722720720720716
Migori,104,3459,3294,529,0.8394049790000001,0.853947969,0.837972167,,56.52
Mombasa,50,2929,1348,231,0.828635015,0.837867247,0.816229117,,40.722720720720716
Muranga,29,670,700,89,0.872857143,0.8673684209999999,0.892018779,,40.722720720720716
Nairobi,137,10529,7863,1799,0.771206918,0.797087188,0.7610088070000001,,40.722720720720716
Nakuru,61,2089,3167,725,0.771076729,0.793514545,0.741901776,,40.722720720720716
Nandi,20,739,518,152,0.706563707,0.790849673,0.731034483,,40.722720720720716
Narok,25,700,863,280,0.6755504059999999,0.673986486,0.697959184,,40.722720720720716
Nyamira,62,584,495,136,0.725252525,0.753424658,0.7307692309999999,,40.722720720720716
Nyandarua,28,504,777,140,0.81981982,0.823300971,0.8326180259999999,,40.722720720720716
Nyeri,32,1117,1111,183,0.8352835279999999,0.844871795,0.8229813659999999,,44.87
Samburu,8,94,82,38,0.5365853660000001,0.568181818,0.46875,0.0001,40.722720720720716
Siaya,136,8345,7296,2182,0.7009320179999999,0.732016632,0.669699727,,0.0
Taita Taveta,32,416,256,75,0.70703125,0.704545455,0.708860759,,40.722720720720716
Tana River,2,12,61,22,0.639344262,0.608695652,0.7857142859999999,79.6211,40.722720720720716
Tharaka Nithi,12,319,542,115,0.787822878,0.780898876,0.798850575,,40.722720720720716
Trans Nzoia,15,963,929,234,0.748116254,0.800995025,0.7351778659999999,,40.722720720720716
Turkana,27,438,424,201,0.5259433960000001,0.578512397,0.533333333,,54.59
Uasin Gishu,25,2935,2863,806,0.718477122,0.779527559,0.759133965,0.0,40.722720720720716
Vihiga,34,1248,1193,364,0.69488684,0.724734043,0.700879765,,40.722720720720716
Wajir,0,0,0,0,,,,0.0,40.722720720720716
West Pokot,5,160,139,49,0.6474820139999999,0.717171717,0.484848485,0.0,40.722720720720716
