County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,17,328,226,65,0.7123893809999999,0.710144928,0.767123288,32.36,40.722720720720716
Bomet,46,1003,843,157,0.81376038,0.8336221840000001,0.798353909,,40.722720720720716
Bungoma,68,2229,2085,575,0.7242206240000001,0.74122807,0.712121212,,40.722720720720716
Busia,57,3674,3637,689,0.810558152,0.832920792,0.8063909770000001,,40.722720720720716
Elgeyo Marakwet,26,295,233,99,0.575107296,0.598765432,0.607142857,,40.722720720720716
Embu,24,666,411,100,0.756690998,0.774193548,0.7410714290000001,,40.722720720720716
Garissa,4,60,11,5,0.545454545,0.625,0.333333333,30.0822,40.722720720720716
Homa Bay,179,11721,10036,2135,0.787265843,0.814749263,0.758442453,,40.722720720720716
Isiolo,3,14,0,0,,,,,40.722720720720716
Kajiado,27,1081,634,155,0.755520505,0.764150943,0.751381215,,50.0
Kakamega,120,3497,3323,770,0.7682816729999999,0.808250227,0.7497181509999999,,50.0
Kericho,35,1246,1127,193,0.8287488909999999,0.8468834690000001,0.81232493,,40.722720720720716
Kiambu,61,3095,3004,311,0.896471372,0.901739539,0.883472057,,50.0
Kilifi,29,1196,1121,338,0.698483497,0.715046605,0.667655786,,40.722720720720716
Kirinyaga,29,616,617,89,0.855753647,0.8770685579999999,0.857142857,,40.722720720720716
Kisii,118,3083,2682,454,0.8307233409999999,0.855664488,0.818431912,,40.722720720720716
Kisumu,124,12958,11465,2282,0.800959442,0.819375345,0.807458803,,40.722720720720716
Kitui,69,2081,1452,284,0.804407713,0.828379674,0.755263158,,40.722720720720716
Kwale,21,213,484,156,0.67768595,0.696476965,0.6228070179999999,,42.5
Laikipia,15,925,428,89,0.792056075,0.799363057,0.770642202,,40.722720720720716
Lamu,6,43,113,38,0.6637168139999999,0.695652174,0.604651163,99.122,40.722720720720716
Machakos,53,2240,1395,285,0.795698925,0.806185567,0.771929825,,40.722720720720716
Makueni,57,2070,1045,170,0.837320574,0.846858639,0.810408922,,40.722720720720716
Mandera,0,0,0,0,,,,7.0658,40.722720720720716
Marsabit,2,47,37,1,0.972972973,0.9642857140000001,1.0,21.3295,46.67
Meru,34,909,596,136,0.771812081,0.794258373,0.712643678,,40.722720720720716
Migori,115,6870,6475,1040,0.8393822390000001,0.859414612,0.818423855,,59.67
Mombasa,50,3806,2603,503,0.806761429,0.810872027,0.8052631579999999,,40.722720720720716
Muranga,36,1192,1237,164,0.86742118,0.875960483,0.855345912,,40.722720720720716
Nairobi,151,13115,15298,2503,0.836383841,0.8552215190000001,0.832281145,,40.722720720720716
Nakuru,72,3307,3127,738,0.7639910459999999,0.78898658,0.740831296,,40.722720720720716
Nandi,25,875,847,254,0.7001180640000001,0.741410488,0.6764705879999999,,40.722720720720716
Narok,36,837,607,156,0.742998353,0.794871795,0.711956522,,40.722720720720716
Nyamira,86,1484,1472,445,0.697690217,0.71,0.695121951,,40.722720720720716
Nyandarua,30,558,260,57,0.780769231,0.812834225,0.692307692,,40.722720720720716
Nyeri,31,1388,1444,166,0.8850415509999999,0.888241011,0.875,,47.62
Samburu,5,57,30,16,0.46666666700000003,0.470588235,0.46153846200000004,10.909,40.722720720720716
Siaya,140,11817,9379,2287,0.756157373,0.785666443,0.7364981079999999,,51.49
Taita Taveta,26,192,317,117,0.630914826,0.651515152,0.603603604,,40.722720720720716
Tana River,3,18,8,6,0.25,0.4,0.0,143.0526,40.722720720720716
Tharaka Nithi,14,438,337,81,0.759643917,0.762114537,0.759615385,,40.722720720720716
Trans Nzoia,16,1240,1170,396,0.661538462,0.730666667,0.6231003039999999,,40.722720720720716
Turkana,32,1080,1073,480,0.552656104,0.615,0.589905363,,54.99
Uasin Gishu,27,3337,3189,1031,0.67670116,0.72132849,0.676627535,56.0646,40.722720720720716
Vihiga,34,1284,1366,285,0.79136164,0.820185615,0.8022922640000001,,40.722720720720716
Wajir,0,0,0,0,,,,20.7296,40.722720720720716
West Pokot,9,169,177,61,0.655367232,0.666666667,0.6875,51.9398,40.722720720720716
