County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,10,444,445,68,0.8471910109999999,0.8297872340000001,0.9013157890000001,96.7681,40.722720720720716
Bomet,40,743,734,144,0.803814714,0.823899371,0.7922705309999999,,62.5
Bungoma,53,1815,1538,271,0.8237971390000001,0.827689243,0.801980198,,40.722720720720716
Busia,29,2406,2301,317,0.862233811,0.884,0.827496757,,40.722720720720716
Elgeyo Marakwet,16,133,170,44,0.741176471,0.7435897440000001,0.75,,40.722720720720716
Embu,19,577,399,52,0.869674185,0.8786764709999999,0.842105263,,40.722720720720716
Garissa,6,89,53,15,0.716981132,0.666666667,0.882352941,52.1293,40.722720720720716
Homa Bay,158,4865,8382,1379,0.835480792,0.8470860809999999,0.83109708,,40.722720720720716
Isiolo,7,207,181,34,0.8121546959999999,0.820895522,0.813953488,,40.722720720720716
Kajiado,22,819,729,98,0.865569273,0.888211382,0.841836735,,26.99
Kakamega,90,1934,1853,329,0.8224500809999999,0.8285486440000001,0.802083333,,30.69
Kericho,37,1008,951,168,0.823343849,0.831946755,0.8277027029999999,,40.722720720720716
Kiambu,50,2496,2168,276,0.872693727,0.879240163,0.860294118,,35.0
Kilifi,31,621,235,38,0.838297872,0.8787878790000001,0.780821918,,40.722720720720716
Kirinyaga,12,787,528,68,0.8712121209999999,0.8843930640000001,0.898734177,,40.722720720720716
Kisii,57,823,2254,574,0.745341615,0.757575758,0.7326565140000001,,40.722720720720716
Kisumu,121,9796,9767,1207,0.8764206,0.886182822,0.867883663,,40.722720720720716
Kitui,50,1536,1460,194,0.8671232879999999,0.88159204,0.845945946,,40.722720720720716
Kwale,16,182,77,20,0.74025974,0.74137931,0.7857142859999999,,38.89
Laikipia,14,409,337,38,0.887240356,0.891774892,0.9042553190000001,,40.722720720720716
Lamu,0,0,0,0,,,,47.2865,40.722720720720716
Machakos,49,1370,1238,168,0.864297254,0.8670731709999999,0.865889213,,50.0
Makueni,47,1672,1411,189,0.866052445,0.8825995809999999,0.828804348,,40.722720720720716
Mandera,0,0,0,0,,,,20.1177,40.722720720720716
Marsabit,4,60,28,7,0.75,0.7894736840000001,0.625,55.6943,31.25
Meru,37,904,788,97,0.876903553,0.902834008,0.839130435,,40.722720720720716
Migori,106,4474,5668,789,0.860797459,0.866403162,0.853097345,,28.0
Mombasa,42,2780,2017,510,0.747149232,0.75092115,0.735440932,,40.722720720720716
Muranga,28,1520,881,119,0.86492622,0.871838111,0.842105263,,40.722720720720716
Nairobi,142,13862,11967,1715,0.8566892290000001,0.8672442709999999,0.857535754,,40.722720720720716
Nakuru,51,2224,1952,310,0.841188525,0.8498520709999999,0.8234234229999999,,40.722720720720716
Nandi,23,743,726,165,0.772727273,0.762711864,0.811594203,,40.722720720720716
Narok,31,737,697,153,0.780487805,0.813186813,0.794736842,,38.72
Nyamira,66,749,1071,230,0.785247432,0.813822285,0.7323420070000001,,40.722720720720716
Nyandarua,22,509,334,41,0.8772455090000001,0.884792627,0.895348837,,40.722720720720716
Nyeri,27,944,710,116,0.836619718,0.85031185,0.8136363640000001,,38.89
Samburu,3,18,17,8,0.529411765,0.454545455,0.6,52.6765,40.722720720720716
Siaya,141,9106,7814,1613,0.793575633,0.806035301,0.769292605,,27.5
Taita Taveta,11,144,95,18,0.8105263159999999,0.837837838,0.666666667,,40.722720720720716
Tana River,5,38,1,0,1.0,1.0,,112.5284,40.722720720720716
Tharaka Nithi,13,407,447,58,0.870246085,0.8758620690000001,0.8852459020000001,,40.722720720720716
Trans Nzoia,13,717,576,124,0.7847222220000001,0.811414392,0.759259259,,40.722720720720716
Turkana,20,546,544,201,0.630514706,0.667844523,0.580645161,,31.86
Uasin Gishu,23,2237,1877,412,0.780500799,0.799319728,0.7742424240000001,109.5879,40.722720720720716
Vihiga,36,1034,790,170,0.7848101270000001,0.814176245,0.7435897440000001,,40.722720720720716
Wajir,1,5,5,2,0.6,0.333333333,1.0,31.9289,40.722720720720716
West Pokot,6,151,158,32,0.797468354,0.811881188,0.771929825,76.0123,40.722720720720716
