County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,12,566,547,165,0.6983546620000001,0.828767123,0.7967479670000001,475.7108,40.722720720720716
Bomet,52,725,624,149,0.7612179490000001,0.787234043,0.7311827959999999,,40.722720720720716
Bungoma,74,2368,2415,620,0.7432712220000001,0.7743142140000001,0.717105263,,40.722720720720716
Busia,49,4068,4225,961,0.7725443790000001,0.8263653479999999,0.7700170359999999,,40.722720720720716
Elgeyo Marakwet,23,294,277,75,0.729241877,0.7688172040000001,0.7536231879999999,,40.722720720720716
Embu,20,590,993,175,0.823766365,0.832840237,0.797979798,,40.722720720720716
Garissa,4,115,151,29,0.80794702,0.819047619,0.7826086959999999,230.3984,40.722720720720716
Homa Bay,181,11090,6987,910,0.869758122,0.894612069,0.8700507609999999,,40.722720720720716
Isiolo,4,241,474,114,0.759493671,0.773770492,0.731884058,,40.722720720720716
Kajiado,28,1360,1074,224,0.791433892,0.822161423,0.78700361,,50.0
Kakamega,132,4622,4715,820,0.826086957,0.8585922640000001,0.82781457,,33.75
Kericho,38,1169,888,129,0.85472973,0.872759857,0.87544484,,40.722720720720716
Kiambu,63,3111,2813,372,0.867756843,0.874360432,0.8499384990000001,,50.0
Kilifi,53,2471,2427,490,0.7981046559999999,0.805926787,0.775964392,,40.722720720720716
Kirinyaga,22,620,641,86,0.865834633,0.8875878220000001,0.84079602,,40.722720720720716
Kisii,106,2586,1902,280,0.85278654,0.8708206690000001,0.831481481,,40.722720720720716
Kisumu,130,10539,7040,1017,0.855539773,0.884877384,0.84401508,,40.722720720720716
Kitui,61,1490,2083,317,0.8478156509999999,0.900983146,0.864603482,,40.722720720720716
Kwale,27,675,648,163,0.74845679,0.774058577,0.674698795,,52.5
Laikipia,21,722,1029,171,0.833819242,0.8418862690000001,0.826666667,,40.722720720720716
Lamu,12,195,188,60,0.6808510640000001,0.731092437,0.594202899,10.9817,40.722720720720716
Machakos,53,1714,2723,417,0.846860081,0.912529551,0.889355742,,40.722720720720716
Makueni,56,1786,2429,389,0.839851791,0.881812615,0.871452421,,40.722720720720716
Mandera,2,25,25,7,0.72,0.7142857140000001,0.8,84.2345,40.722720720720716
Marsabit,8,126,222,68,0.693693694,0.706293706,0.693333333,96.7145,57.5
Meru,42,1354,2325,379,0.836989247,0.85210396,0.8040123459999999,,40.722720720720716
Migori,112,5754,5499,675,0.8772504090000001,0.89311099,0.8756097559999999,,38.72
Mombasa,52,3130,3151,556,0.82354808,0.833255706,0.810559006,,40.722720720720716
Muranga,29,661,1042,171,0.8358925140000001,0.844077961,0.854599407,,40.722720720720716
Nairobi,167,11784,10875,1799,0.834574713,0.85583393,0.820005732,,40.722720720720716
Nakuru,74,3244,3937,685,0.826009652,0.8739460370000001,0.851851852,,40.722720720720716
Nandi,23,1168,1132,215,0.810070671,0.8272604590000001,0.806358382,,40.722720720720716
Narok,35,756,689,126,0.81712627,0.869767442,0.835051546,,40.722720720720716
Nyamira,73,1567,1502,270,0.82023968,0.846385542,0.805288462,,40.722720720720716
Nyandarua,31,581,800,124,0.845,0.8547794120000001,0.8212765959999999,,40.722720720720716
Nyeri,34,1563,1680,157,0.906547619,0.919413919,0.881040892,,70.0
Samburu,9,149,228,76,0.666666667,0.6974789920000001,0.65,116.3627,40.722720720720716
Siaya,136,7045,4802,1089,0.7732194920000001,0.831118881,0.795152463,,53.69
Taita Taveta,37,985,964,205,0.787344398,0.797317437,0.775,,40.722720720720716
Tana River,5,170,152,58,0.6184210529999999,0.6,0.658536585,2.0501,40.722720720720716
Tharaka Nithi,16,549,1024,198,0.806640625,0.8220211159999999,0.77675841,,40.722720720720716
Trans Nzoia,25,1262,1405,303,0.784341637,0.8190789470000001,0.786458333,,40.722720720720716
Turkana,34,727,754,320,0.575596817,0.629807692,0.658878505,,38.46
Uasin Gishu,26,2838,3032,673,0.7780343009999999,0.83030647,0.7933491690000001,792.4765,40.722720720720716
Vihiga,39,1457,1532,220,0.8563968670000001,0.8840579709999999,0.849056604,,40.722720720720716
Wajir,2,95,1,0,1.0,,,94.9068,40.722720720720716
West Pokot,11,566,530,73,0.862264151,0.8840125390000001,0.8888888890000001,451.3338,40.722720720720716
