County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,11,391,457,128,0.7199124729999999,0.784172662,0.764705882,165.3903,40.722720720720716
Bomet,40,583,575,119,0.793043478,0.798982188,0.818181818,,40.722720720720716
Bungoma,67,2123,2468,524,0.7876823340000001,0.809411765,0.772519084,,40.722720720720716
Busia,44,2813,3259,539,0.8346118440000001,0.8643822390000001,0.8223185270000001,,40.722720720720716
Elgeyo Marakwet,20,236,260,62,0.7615384620000001,0.8291139240000001,0.7857142859999999,,40.722720720720716
Embu,21,722,889,159,0.8211473570000001,0.830894309,0.812749004,,40.722720720720716
Garissa,3,35,44,9,0.795454545,0.838709677,0.692307692,225.5167,40.722720720720716
Homa Bay,173,7593,9336,1440,0.845758355,0.873302418,0.844933285,,40.722720720720716
Isiolo,3,19,11,5,0.545454545,0.625,0.333333333,,40.722720720720716
Kajiado,29,969,1213,207,0.829348722,0.855942377,0.791411043,,60.0
Kakamega,137,3172,4337,908,0.79063869,0.8146877140000001,0.7786195290000001,,50.0
Kericho,35,1032,1069,197,0.815715622,0.838427948,0.785915493,,40.722720720720716
Kiambu,56,2644,2578,294,0.885958107,0.8918918920000001,0.8799489140000001,,50.0
Kilifi,44,1464,1886,284,0.849416755,0.864343958,0.816247582,,40.722720720720716
Kirinyaga,29,648,715,78,0.8909090909999999,0.908523909,0.874396135,,40.722720720720716
Kisii,89,2309,2376,321,0.86489899,0.88494492,0.866873065,,40.722720720720716
Kisumu,123,8990,8879,1392,0.8432255879999999,0.877177068,0.837926033,,40.722720720720716
Kitui,62,1599,2018,320,0.841427156,0.85252809,0.815789474,,40.722720720720716
Kwale,25,557,828,139,0.832125604,0.8620129870000001,0.7475728159999999,,62.0
Laikipia,18,1021,1269,178,0.859732072,0.8689809629999999,0.858757062,,40.722720720720716
Lamu,9,184,183,51,0.721311475,0.738095238,0.684210526,534.0062,40.722720720720716
Machakos,55,2745,3248,477,0.8531403940000001,0.870305677,0.809935205,,40.722720720720716
Makueni,59,1421,1962,295,0.8496432209999999,0.849748382,0.850277264,,40.722720720720716
Mandera,0,0,0,0,,,,81.6326,40.722720720720716
Marsabit,7,94,177,42,0.762711864,0.793650794,0.6875,85.6239,50.0
Meru,44,2069,2453,447,0.8177741540000001,0.830588235,0.791780822,,40.722720720720716
Migori,114,4976,5390,845,0.8432281999999999,0.865738162,0.8281154079999999,,58.36
Mombasa,47,2784,3445,405,0.8824383159999999,0.8845188279999999,0.87656702,,40.722720720720716
Muranga,30,1165,1109,119,0.892696123,0.9057788940000001,0.8774834440000001,,40.722720720720716
Nairobi,154,12565,12054,1735,0.856064377,0.869520636,0.854863222,,40.722720720720716
Nakuru,71,2818,4076,673,0.8348871440000001,0.866740495,0.8259668509999999,,40.722720720720716
Nandi,21,630,677,134,0.8020679470000001,0.8511627909999999,0.769607843,,40.722720720720716
Narok,36,658,770,183,0.7623376620000001,0.814285714,0.76056338,,40.722720720720716
Nyamira,65,853,1207,313,0.74067937,0.780637255,0.7008547009999999,,40.722720720720716
Nyandarua,33,771,915,125,0.863387978,0.8664495109999999,0.862190813,,40.722720720720716
Nyeri,31,1154,1077,104,0.903435469,0.9289544240000001,0.8598726109999999,,70.0
Samburu,11,134,84,37,0.55952381,0.568965517,0.5,77.5988,40.722720720720716
Siaya,138,7881,8648,1637,0.810707678,0.853840275,0.8136503070000001,,53.69
Taita Taveta,20,792,733,135,0.815825375,0.828282828,0.7863247859999999,,40.722720720720716
Tana River,4,28,88,30,0.659090909,0.6984126979999999,0.56,471.6916,40.722720720720716
Tharaka Nithi,15,899,941,170,0.819341126,0.827906977,0.7963636359999999,,40.722720720720716
Trans Nzoia,22,1055,1135,251,0.778854626,0.8280166440000001,0.788927336,,40.722720720720716
Turkana,32,851,927,373,0.597626753,0.6336633660000001,0.621722846,,54.99
Uasin Gishu,26,2561,2731,519,0.809959722,0.8562340970000001,0.832241153,350.2348,40.722720720720716
Vihiga,34,899,1287,254,0.802641803,0.834541063,0.796296296,,40.722720720720716
Wajir,1,15,2,0,1.0,1.0,,94.2454,40.722720720720716
West Pokot,12,136,147,28,0.80952381,0.840425532,0.80952381,220.7902,40.722720720720716
