County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,7,104,9,6,0.333333333,0.25,0.4,716.995,40.722720720720716
Bomet,41,482,427,96,0.775175644,0.809352518,0.765151515,,36.0
Bungoma,27,538,263,82,0.688212928,0.763975155,0.720588235,,40.722720720720716
Busia,29,1084,764,221,0.7107329840000001,0.761904762,0.693227092,,40.722720720720716
Elgeyo Marakwet,11,126,81,25,0.691358025,0.673469388,0.851851852,,40.722720720720716
Embu,11,190,92,16,0.826086957,0.901639344,0.666666667,,40.722720720720716
Garissa,4,23,20,3,0.85,0.9285714290000001,0.75,332.9211,40.722720720720716
Homa Bay,148,4727,3523,766,0.782571672,0.8062117240000001,0.767985612,,40.722720720720716
Isiolo,1,1,32,11,0.65625,0.8125,0.5,,40.722720720720716
Kajiado,19,435,34,7,0.794117647,0.833333333,0.875,,50.0
Kakamega,69,1144,418,105,0.748803828,0.7519379840000001,0.739130435,,31.5
Kericho,31,580,754,120,0.8408488059999999,0.8392857140000001,0.855932203,,40.722720720720716
Kiambu,49,1255,1040,135,0.870192308,0.870056497,0.8700906340000001,,40.0
Kilifi,14,230,311,53,0.8295819940000001,0.8558558559999999,0.7820512820000001,,40.722720720720716
Kirinyaga,14,647,582,54,0.907216495,0.933333333,0.917475728,,40.722720720720716
Kisii,50,804,926,125,0.8650107990000001,0.8854838709999999,0.897233202,,40.722720720720716
Kisumu,108,5666,5996,1226,0.795530354,0.818981605,0.793582888,,40.722720720720716
Kitui,33,483,23,8,0.6521739129999999,0.8,0.611111111,,40.722720720720716
Kwale,4,44,8,1,0.875,0.857142857,1.0,,38.5
Laikipia,12,162,6,0,1.0,1.0,1.0,,40.722720720720716
Lamu,0,0,0,0,,,,39.4148,40.722720720720716
Machakos,27,428,12,4,0.666666667,0.875,0.571428571,,40.722720720720716
Makueni,28,289,17,2,0.882352941,0.846153846,1.0,,40.722720720720716
Mandera,0,0,0,0,,,,228.8472,40.722720720720716
Marsabit,1,33,4,2,0.5,0.5,,227.1839,37.33
Meru,24,526,25,3,0.88,0.9375,0.7777777779999999,,40.722720720720716
Migori,89,2409,2233,314,0.8593819970000001,0.880968858,0.869309838,,30.43
Mombasa,27,1091,2241,330,0.8527443109999999,0.85789129,0.840348331,,40.722720720720716
Muranga,29,696,548,67,0.8777372259999999,0.883289125,0.8654970759999999,,40.722720720720716
Nairobi,131,6907,9442,1518,0.839228977,0.86369703,0.8258770520000001,,40.722720720720716
Nakuru,51,1270,285,26,0.90877193,0.9117647059999999,0.901234568,,40.722720720720716
Nandi,17,209,234,71,0.696581197,0.759398496,0.6571428570000001,,40.722720720720716
Narok,21,200,58,13,0.7758620690000001,0.75,0.84,,40.722720720720716
Nyamira,59,629,0,0,,,,,40.722720720720716
Nyandarua,18,79,29,3,0.896551724,0.882352941,0.916666667,,40.722720720720716
Nyeri,28,704,515,81,0.842718447,0.873972603,0.7666666670000001,,47.62
Samburu,0,0,0,0,,,,273.6645,40.722720720720716
Siaya,128,4826,4874,1398,0.7131719329999999,0.743037975,0.6839273709999999,,29.81
Taita Taveta,2,28,5,2,0.6,0.6,,,40.722720720720716
Tana River,1,3,0,0,,,,93.1069,40.722720720720716
Tharaka Nithi,6,140,25,1,0.96,1.0,0.8888888890000001,,40.722720720720716
Trans Nzoia,12,223,180,46,0.7444444440000001,0.7826086959999999,0.770833333,,40.722720720720716
Turkana,24,384,232,107,0.5387931029999999,0.578947368,0.532258065,,40.722720720720716
Uasin Gishu,22,1044,992,324,0.673387097,0.715289982,0.7088122609999999,1127.9575,40.722720720720716
Vihiga,16,310,20,5,0.75,0.9090909090000001,0.5,,40.722720720720716
Wajir,0,0,0,0,,,,237.5865,40.722720720720716
West Pokot,12,132,111,30,0.72972973,0.771084337,0.666666667,639.1098,40.722720720720716
