County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,15,327,261,68,0.739463602,0.7386363640000001,0.814285714,50.7101,40.722720720720716
Bomet,46,855,601,113,0.811980033,0.8309178740000001,0.797752809,,40.722720720720716
Bungoma,57,2181,2112,462,0.78125,0.799578059,0.7561779240000001,,40.722720720720716
Busia,48,2400,2358,445,0.8112807459999999,0.8234126979999999,0.8217270190000001,,40.722720720720716
Elgeyo Marakwet,19,246,285,93,0.673684211,0.726315789,0.641025641,,40.722720720720716
Embu,27,897,669,135,0.798206278,0.797441365,0.789189189,,40.722720720720716
Garissa,7,77,76,28,0.6315789470000001,0.7307692309999999,0.428571429,77.2891,40.722720720720716
Homa Bay,172,7384,8995,1385,0.84602557,0.8644990920000001,0.8289723170000001,,40.722720720720716
Isiolo,3,31,19,6,0.684210526,0.6875,1.0,,40.722720720720716
Kajiado,29,987,1044,251,0.759578544,0.760623229,0.795986622,,50.0
Kakamega,115,2948,2983,674,0.774052967,0.81375502,0.7486772490000001,,50.0
Kericho,38,1188,722,119,0.835180055,0.8559670779999999,0.825471698,,40.722720720720716
Kiambu,63,3070,2907,368,0.873409013,0.879854997,0.865319865,,50.0
Kilifi,41,1384,1985,389,0.804030227,0.81942446,0.773913043,,40.722720720720716
Kirinyaga,34,932,767,93,0.87874837,0.898467433,0.897058824,,40.722720720720716
Kisii,114,3197,1826,288,0.8422782040000001,0.8714395690000001,0.8050847459999999,,40.722720720720716
Kisumu,123,9799,9175,1366,0.851117166,0.878605557,0.848045822,,40.722720720720716
Kitui,71,1721,1750,288,0.8354285709999999,0.8550840670000001,0.77753304,,40.722720720720716
Kwale,25,602,409,125,0.6943765279999999,0.712837838,0.6542056070000001,,46.75
Laikipia,17,566,859,142,0.8346915020000001,0.8483816009999999,0.8185328190000001,,40.722720720720716
Lamu,6,99,100,21,0.79,0.761904762,0.833333333,159.5523,40.722720720720716
Machakos,48,1562,2036,398,0.804518664,0.831491713,0.7370304109999999,,40.722720720720716
Makueni,58,1623,1759,331,0.8118249009999999,0.830007981,0.784946237,,40.722720720720716
Mandera,2,25,25,9,0.64,0.647058824,0.625,21.6505,40.722720720720716
Marsabit,1,12,37,8,0.783783784,0.875,0.666666667,30.7801,49.0
Meru,35,1020,825,154,0.813333333,0.829090909,0.783464567,,40.722720720720716
Migori,119,5699,4004,536,0.866133866,0.8756855579999999,0.88712522,,59.67
Mombasa,48,2925,5775,773,0.866147186,0.870522006,0.859009254,,40.722720720720716
Muranga,33,1260,1276,176,0.8620689659999999,0.8681818179999999,0.8487179490000001,,40.722720720720716
Nairobi,163,11295,10109,1645,0.8372737159999999,0.859103385,0.826851852,,40.722720720720716
Nakuru,72,2710,2557,508,0.801329683,0.816004673,0.7899159659999999,,40.722720720720716
Nandi,20,689,552,91,0.835144928,0.830238727,0.860927152,,40.722720720720716
Narok,30,616,659,169,0.743550835,0.800464037,0.7142857140000001,,40.722720720720716
Nyamira,79,919,866,240,0.722863741,0.7303370790000001,0.72246696,,40.722720720720716
Nyandarua,29,524,586,114,0.8054607509999999,0.8365853659999999,0.725609756,,40.722720720720716
Nyeri,27,946,840,110,0.869047619,0.860869565,0.888446215,,55.55
Samburu,2,9,43,24,0.441860465,0.571428571,0.5,17.46,40.722720720720716
Siaya,140,9748,9337,1796,0.8076469959999999,0.8361323159999999,0.795813315,,53.69
Taita Taveta,26,286,288,86,0.7013888890000001,0.707762557,0.6764705879999999,,40.722720720720716
Tana River,3,21,18,7,0.611111111,0.692307692,0.4,259.8023,40.722720720720716
Tharaka Nithi,11,208,405,89,0.780246914,0.804347826,0.716814159,,40.722720720720716
Trans Nzoia,20,1134,961,182,0.8106139440000001,0.859016393,0.8188976379999999,,40.722720720720716
Turkana,36,578,443,178,0.598194131,0.651162791,0.592307692,,54.99
Uasin Gishu,31,2855,2652,401,0.848793363,0.889159562,0.8546895640000001,113.917,40.722720720720716
Vihiga,39,1287,1142,229,0.799474606,0.8335535009999999,0.783171521,,40.722720720720716
Wajir,0,0,0,0,,,,37.6131,40.722720720720716
West Pokot,11,180,136,33,0.757352941,0.7419354840000001,0.8,90.3435,40.722720720720716
