County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,15,279,36,17,0.5277777779999999,0.380952381,0.7857142859999999,680.9481,40.722720720720716
Bomet,41,636,629,140,0.777424483,0.7790697670000001,0.7857142859999999,,36.0
Bungoma,49,1425,836,220,0.736842105,0.748613678,0.761133603,,40.722720720720716
Busia,39,1765,833,210,0.74789916,0.7686424470000001,0.718146718,,40.722720720720716
Elgeyo Marakwet,18,142,138,44,0.68115942,0.6764705879999999,0.705882353,,40.722720720720716
Embu,22,592,293,52,0.822525597,0.81865285,0.826086957,,40.722720720720716
Garissa,5,45,7,0,1.0,1.0,1.0,229.9275,40.722720720720716
Homa Bay,155,5268,4392,658,0.8501821490000001,0.870843542,0.8433476390000001,,40.722720720720716
Isiolo,2,9,21,6,0.7142857140000001,0.6875,0.8,,40.722720720720716
Kajiado,27,890,228,32,0.859649123,0.8486842109999999,0.8888888890000001,,45.0
Kakamega,97,2105,1032,165,0.8401162790000001,0.8615611190000001,0.836879433,,29.0
Kericho,36,1142,1033,232,0.775411423,0.790322581,0.774691358,,40.722720720720716
Kiambu,56,2193,2618,349,0.866692131,0.874632137,0.8589909440000001,,40.0
Kilifi,18,441,265,42,0.8415094340000001,0.80733945,0.87012987,,40.722720720720716
Kirinyaga,11,659,787,121,0.846251588,0.8791423,0.848484848,,40.722720720720716
Kisii,109,2150,2026,315,0.8445212240000001,0.8659942359999999,0.862197393,,40.722720720720716
Kisumu,119,5924,4643,871,0.8124057720000001,0.8413376020000001,0.799298246,,40.722720720720716
Kitui,32,492,185,27,0.854054054,0.8771929820000001,0.8059701490000001,,40.722720720720716
Kwale,3,9,47,17,0.638297872,0.6571428570000001,0.583333333,,36.25
Laikipia,16,514,107,12,0.887850467,0.8840579709999999,0.8857142859999999,,40.722720720720716
Lamu,0,0,0,0,,,,16.2373,40.722720720720716
Machakos,39,1169,321,51,0.841121495,0.881516588,0.767676768,,40.722720720720716
Makueni,43,1125,370,43,0.883783784,0.8898678409999999,0.88,,40.722720720720716
Mandera,2,45,0,0,,,,175.3894,40.722720720720716
Marsabit,2,9,0,0,,,,200.6941,35.5
Meru,40,1164,128,10,0.921875,0.9146341459999999,0.9285714290000001,,40.722720720720716
Migori,109,4586,3739,480,0.871623429,0.8840216940000001,0.8706382979999999,,30.43
Mombasa,33,2935,1936,347,0.8207644629999999,0.8352578909999999,0.789126853,,40.722720720720716
Muranga,33,957,1173,170,0.855072464,0.856441718,0.853107345,,40.722720720720716
Nairobi,143,13769,16682,2560,0.8465411820000001,0.8599924729999999,0.85154793,,40.722720720720716
Nakuru,71,2652,866,124,0.8568129329999999,0.862129145,0.8556338029999999,,40.722720720720716
Nandi,25,821,724,160,0.779005525,0.840095465,0.772357724,,40.722720720720716
Narok,34,545,286,77,0.7307692309999999,0.78125,0.675324675,,40.722720720720716
Nyamira,78,731,127,43,0.661417323,0.7179487179999999,0.609756098,,40.722720720720716
Nyandarua,28,506,192,38,0.802083333,0.7894736840000001,0.848484848,,40.722720720720716
Nyeri,32,1012,1303,183,0.859554873,0.8606466,0.8592964820000001,,47.62
Samburu,4,71,8,4,0.5,0.75,0.25,238.226,40.722720720720716
Siaya,127,4214,3540,825,0.766949153,0.791247265,0.758522727,,29.81
Taita Taveta,2,72,21,5,0.761904762,0.692307692,0.875,,40.722720720720716
Tana River,5,41,5,1,0.8,0.8,,11.8948,40.722720720720716
Tharaka Nithi,14,329,137,22,0.839416058,0.857142857,0.852941176,,40.722720720720716
Trans Nzoia,20,786,800,265,0.66875,0.71399177,0.7004405290000001,,40.722720720720716
Turkana,29,454,433,175,0.595842956,0.672727273,0.598130841,,40.722720720720716
Uasin Gishu,27,2036,2033,797,0.607968519,0.657546337,0.652705061,1082.4632,40.722720720720716
Vihiga,37,1151,448,90,0.799107143,0.8464419479999999,0.80952381,,40.722720720720716
Wajir,0,0,0,0,,,,169.2233,40.722720720720716
West Pokot,12,182,172,49,0.7151162790000001,0.7606837609999999,0.622641509,624.3232,40.722720720720716
