County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,13,190,223,59,0.7354260090000001,0.9032258059999999,0.916666667,363.5161,40.722720720720716
Bomet,52,769,713,144,0.7980364659999999,0.8275862070000001,0.7629310340000001,,40.722720720720716
Bungoma,59,2044,1994,412,0.79338014,0.823699422,0.7409420290000001,,40.722720720720716
Busia,43,2314,2149,269,0.8748254999999999,0.895231214,0.880126183,,40.722720720720716
Elgeyo Marakwet,19,309,323,83,0.7430340559999999,0.806603774,0.7625,,40.722720720720716
Embu,22,710,99,13,0.868686869,0.931034483,0.7777777779999999,,40.722720720720716
Garissa,8,117,15,3,0.8,0.846153846,0.75,230.1855,40.722720720720716
Homa Bay,162,4892,5226,767,0.8532338309999999,0.8768786129999999,0.844905905,,40.722720720720716
Isiolo,4,340,37,7,0.810810811,0.846153846,0.75,,40.722720720720716
Kajiado,23,646,178,20,0.887640449,0.872340426,0.923076923,,60.0
Kakamega,116,2610,2392,374,0.843645485,0.87144623,0.836611195,,35.0
Kericho,34,864,898,159,0.8229398659999999,0.852059925,0.827361564,,40.722720720720716
Kiambu,60,2497,1525,173,0.886557377,0.8964525409999999,0.877155172,,50.0
Kilifi,42,1928,1579,305,0.806839772,0.821396192,0.774468085,,40.722720720720716
Kirinyaga,29,809,669,84,0.874439462,0.9265402840000001,0.8468899520000001,,40.722720720720716
Kisii,60,1344,1173,130,0.8891730609999999,0.9132029340000001,0.862928349,,40.722720720720716
Kisumu,115,5330,5669,808,0.857470453,0.87811712,0.862625139,,40.722720720720716
Kitui,60,1473,136,19,0.860294118,0.934065934,0.740740741,,40.722720720720716
Kwale,15,431,346,68,0.803468208,0.8140495870000001,0.786407767,,60.0
Laikipia,19,753,215,22,0.8976744190000001,0.905405405,0.875,,40.722720720720716
Lamu,4,27,3,0,1.0,1.0,1.0,5.8513,40.722720720720716
Machakos,53,2306,475,64,0.865263158,0.918644068,0.8888888890000001,,40.722720720720716
Makueni,57,1782,218,37,0.8302752290000001,0.857142857,0.865384615,,40.722720720720716
Mandera,0,0,0,0,,,,83.9546,40.722720720720716
Marsabit,8,198,0,0,,,,90.5425,46.25
Meru,44,1675,175,22,0.8742857140000001,0.854545455,0.921052632,,40.722720720720716
Migori,103,3962,3585,628,0.8248256620000001,0.8425263159999999,0.8019451809999999,,38.72
Mombasa,48,2447,1977,356,0.819929186,0.830609212,0.799676898,,40.722720720720716
Muranga,27,1353,767,61,0.920469361,0.924385633,0.917748918,,40.722720720720716
Nairobi,160,8600,8704,1134,0.869715074,0.8811845429999999,0.865284974,,40.722720720720716
Nakuru,73,2603,753,101,0.865869854,0.902953586,0.882352941,,40.722720720720716
Nandi,23,741,667,106,0.84107946,0.8669623059999999,0.805128205,,40.722720720720716
Narok,34,418,249,32,0.871485944,0.886227545,0.878378378,,40.722720720720716
Nyamira,55,653,594,103,0.826599327,0.8470319629999999,0.77852349,,40.722720720720716
Nyandarua,29,931,169,14,0.917159763,0.906779661,0.9523809520000001,,40.722720720720716
Nyeri,31,1666,861,94,0.890824623,0.913705584,0.84496124,,70.0
Samburu,7,165,2,0,1.0,1.0,,97.5501,40.722720720720716
Siaya,124,3008,3327,667,0.799519086,0.864893062,0.820960699,,53.69
Taita Taveta,16,207,91,15,0.835164835,0.8235294120000001,0.8636363640000001,,40.722720720720716
Tana River,5,38,0,0,,,,1.8772,40.722720720720716
Tharaka Nithi,19,851,69,16,0.768115942,0.84,0.857142857,,40.722720720720716
Trans Nzoia,25,1144,1031,221,0.785645005,0.850837139,0.791970803,,40.722720720720716
Turkana,25,582,576,222,0.614583333,0.681681682,0.5638297870000001,,54.99
Uasin Gishu,30,2294,2171,524,0.758636573,0.808383234,0.736666667,638.7028,40.722720720720716
Vihiga,31,804,706,117,0.83427762,0.8440366970000001,0.838297872,,40.722720720720716
Wajir,0,0,0,0,,,,94.6458,40.722720720720716
West Pokot,13,287,306,56,0.8169934640000001,0.8238095240000001,0.833333333,358.3713,40.722720720720716
