County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,6,82,94,19,0.79787234,0.8,0.791666667,91.6597,40.722720720720716
Bomet,23,610,813,150,0.815498155,0.828996283,0.795366795,,31.0
Bungoma,36,1222,1151,196,0.829713293,0.8659420290000001,0.830882353,,40.722720720720716
Busia,32,2198,2293,474,0.7932839079999999,0.813953488,0.7222222220000001,,40.722720720720716
Elgeyo Marakwet,10,37,61,7,0.8852459020000001,0.882352941,0.88,,40.722720720720716
Embu,12,304,209,25,0.880382775,0.865671642,0.93442623,,40.722720720720716
Garissa,2,35,25,4,0.84,0.833333333,0.666666667,78.5133,40.722720720720716
Homa Bay,136,4573,3923,705,0.820290594,0.819891143,0.816810345,,40.722720720720716
Isiolo,2,25,9,3,0.666666667,0.7142857140000001,0.5,,40.722720720720716
Kajiado,15,550,444,57,0.871621622,0.884353741,0.85,,40.0
Kakamega,70,1079,1473,310,0.7895451459999999,0.895833333,0.75,,33.18
Kericho,31,848,1010,212,0.79009901,0.814262023,0.798586572,,40.722720720720716
Kiambu,26,3105,1336,146,0.890718563,0.910891089,0.8481012659999999,,40.0
Kilifi,18,550,459,83,0.8191721129999999,0.836431227,0.8367346940000001,,40.722720720720716
Kirinyaga,12,890,462,72,0.8441558440000001,0.8685714290000001,0.7820512820000001,,40.722720720720716
Kisii,86,2054,2190,451,0.7940639270000001,0.8024164890000001,0.7766990290000001,,40.722720720720716
Kisumu,89,4316,4756,705,0.85176619,0.8636200070000001,0.852779475,,40.722720720720716
Kitui,38,502,361,52,0.855955679,0.899038462,0.79,,40.722720720720716
Kwale,9,78,104,26,0.75,0.842105263,0.7333333329999999,,40.0
Laikipia,6,252,213,35,0.8356807509999999,0.783783784,0.818181818,,40.722720720720716
Lamu,5,92,62,18,0.709677419,0.727272727,0.647058824,230.34,40.722720720720716
Machakos,46,718,678,108,0.840707965,0.8440748440000001,0.8187919459999999,,40.722720720720716
Makueni,42,483,453,44,0.902869757,0.911111111,0.875,,40.722720720720716
Mandera,1,34,34,6,0.8235294120000001,0.869565217,0.7,57.8867,40.722720720720716
Marsabit,3,58,44,4,0.9090909090000001,0.931034483,0.857142857,57.3789,38.5
Meru,25,1031,763,75,0.9017038009999999,0.889352818,0.921658986,,40.722720720720716
Migori,89,3565,2517,471,0.812872467,0.815354713,0.8004032259999999,,32.0
Mombasa,37,3735,1405,282,0.799288256,0.820638821,0.8222222220000001,,40.722720720720716
Muranga,14,662,478,90,0.8117154809999999,0.8,0.5,,40.722720720720716
Nairobi,118,7397,4367,679,0.8445156859999999,0.8476112029999999,0.833597464,,40.722720720720716
Nakuru,38,1208,980,175,0.8214285709999999,0.84,0.797101449,,40.722720720720716
Nandi,23,607,801,192,0.760299625,0.798534799,0.696202532,,40.722720720720716
Narok,23,503,664,192,0.710843373,0.7370689659999999,0.6779661020000001,,40.722720720720716
Nyamira,40,476,460,113,0.7543478259999999,0.571428571,,,40.722720720720716
Nyandarua,15,134,173,31,0.8208092490000001,0.857142857,0.8,,40.722720720720716
Nyeri,14,669,350,43,0.877142857,0.914893617,0.944444444,,41.39
Samburu,4,53,56,19,0.660714286,0.657894737,0.7,64.827,40.722720720720716
Siaya,119,2392,2961,662,0.776426883,0.780449556,0.743707094,,27.23
Taita Taveta,13,313,216,35,0.837962963,0.857142857,0.745762712,,40.722720720720716
Tana River,4,52,18,6,0.666666667,0.6,1.0,321.0515,40.722720720720716
Tharaka Nithi,8,140,134,16,0.880597015,0.865671642,0.897435897,,40.722720720720716
Trans Nzoia,11,859,884,162,0.8167420809999999,0.8170940170000001,0.81443299,,40.722720720720716
Turkana,12,534,465,108,0.767741935,0.78313253,0.722689076,,40.722720720720716
Uasin Gishu,17,3095,2884,496,0.8280166440000001,0.8259239420000001,0.833163784,147.20600000000005,40.722720720720716
Vihiga,27,724,685,154,0.7751824820000001,0.0,,,40.722720720720716
Wajir,1,1,1,0,1.0,,1.0,61.5095,40.722720720720716
West Pokot,10,47,93,12,0.870967742,0.890625,0.8275862070000001,132.7752,40.722720720720716
