0,Nairobi,1440,918,7360,85.2,90,2015,1
,4,Nairobi,542,397,2737,85.3,90,2015,2
,4,Nairobi,509,363,2331,84.1,90,2015,3
,1,Nairobi,676,472,3215,84.5,90,2015,4
,2,Nairobi,573,416,2804,84.9,90,2015,5
,0,Nairobi,1025,852,5673,86.4,90,2015,6
,0,Nairobi,972,747,5773,87.0,90,2015,7
,0,Nairobi,1007,949,5737,86.9,90,2015,8
,0,Nairobi,962,1026,5863,87.7,90,2015,9
,0,Nairobi,1151,1469,6615,87.5,90,2015,10
,1,Nairobi,586,553,4668,89.9,90,2015,11
,0,Nairobi,1145,975,7177,87.7,90,2015,12
,0,Nairobi,1188,1419,5976,86.2,90,2016,1
,0,Nairobi,1439,1872,6411,85.2,90,2016,2
,0,Nairobi,1653,1898,8305,86.1,90,2016,3
,2,Nairobi,1650,1927,6744,84.0,90,2016,4
,0,Nairobi,1328,1412,7385,86.9,90,2016,5
,0,Nairobi,1751,1557,9720,86.6,90,2016,6
,0,Nairobi,2586,3558,7060,80.4,90,2016,7
,0,Nairobi,2379,3986,7625,83.0,90,2016,8
,0,Nairobi,1555,2073,5412,82.8,90,2016,9
,0,Nairobi,1576,2405,5588,83.5,90,2016,10
,0,Nairobi,2347,3845,10140,85.6,90,2016,11
,0,Nairobi,1375,3170,4664,85.1,90,2016,12
,0,Nairobi,1634,1810,4160,78.5,90,2017,1
,0,Nairobi,1335,1213,7249,86.4,90,2017,2
,0,Nairobi,2270,3317,9329,84.8,90,2017,3
,0,Nairobi,1491,2072,6286,84.9,90,2017,4
,0,Nairobi,2128,2487,11875,87.1,90,2017,5
,0,Nairobi,1605,1730,8481,86.4,90,2017,6
,0,Nairobi,1598,1846,9940,88.1,90,2017,7
,0,Nairobi,1070,1648,5842,87.5,90,2017,8
,0,Nairobi,1645,2658,6230,84.4,90,2017,9
,0,Nairobi,1726,2315,8619,86.4,90,2017,10
,0,Nairobi,1969,3651,7114,84.5,90,2017,11
,0,Nairobi,1900,3504,7277,85.0,90,2017,12
