,1_2015,2_2015,3_2015,4_2015,5_2015,6_2015,7_2015,8_2015,9_2015,10_2015,11_2015,12_2015,1_2016,2_2016,3_2016,4_2016,5_2016,6_2016,7_2016,8_2016,9_2016,10_2016,11_2016,12_2016,1_2017,2_2017,3_2017,4_2017,5_2017,6_2017,7_2017,8_2017,9_2017,10_2017,11_2017,12_2017
Not Suppressed,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
&lt; 1000,85.2,85.3,84.1,84.5,84.9,86.4,87.0,86.9,87.7,87.5,89.9,87.7,86.2,85.2,86.1,84.0,86.9,86.6,80.4,83.0,82.8,83.5,85.6,85.1,78.5,86.4,84.8,84.9,87.1,86.4,88.1,87.5,84.4,86.4,84.5,85.0
&lt; LDL,7360,2737,2331,3215,2804,5673,5773,5737,5863,6615,4668,7177,5976,6411,8305,6744,7385,9720,7060,7625,5412,5588,10140,4664,4160,7249,9329,6286,11875,8481,9940,5842,6230,8619,7114,7277
