County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,12,345,329,95,0.7112462009999999,0.7489177490000001,0.693181818,17.7343,40.722720720720716
Bomet,51,782,916,194,0.788209607,0.822503962,0.744360902,,40.722720720720716
Bungoma,58,1605,2173,657,0.697653014,0.718688525,0.678846154,,40.722720720720716
Busia,48,3078,3276,896,0.7264957259999999,0.771014493,0.696969697,,40.722720720720716
Elgeyo Marakwet,19,249,253,81,0.6798418970000001,0.690909091,0.684210526,,40.722720720720716
Embu,19,463,490,126,0.7428571429999999,0.751533742,0.7172413790000001,,40.722720720720716
Garissa,3,5,27,13,0.518518519,0.6315789470000001,0.25,2.2625,40.722720720720716
Homa Bay,182,9859,9887,1903,0.807525033,0.839870789,0.789793849,,40.722720720720716
Isiolo,4,34,40,14,0.65,0.64,0.5,,40.722720720720716
Kajiado,25,902,883,210,0.762174405,0.801574803,0.681415929,,50.0
Kakamega,97,2836,4035,1206,0.7011152420000001,0.754448399,0.721135029,,50.0
Kericho,37,1065,1314,233,0.8226788429999999,0.84562212,0.800486618,,40.722720720720716
Kiambu,57,2469,2277,292,0.871761089,0.873840445,0.865443425,,50.0
Kilifi,40,934,1139,254,0.7769973659999999,0.7853260870000001,0.756684492,,40.722720720720716
Kirinyaga,35,684,643,97,0.849144635,0.8561643840000001,0.835820896,,40.722720720720716
Kisii,95,1976,2588,412,0.840803709,0.8675383740000001,0.8310911809999999,,40.722720720720716
Kisumu,123,10080,9815,1720,0.824758023,0.853631285,0.812479257,,40.722720720720716
Kitui,60,1733,1687,270,0.8399525790000001,0.856796117,0.797169811,,40.722720720720716
Kwale,25,189,458,124,0.729257642,0.754143646,0.65060241,,42.5
Laikipia,17,605,512,101,0.802734375,0.834302326,0.748466258,,40.722720720720716
Lamu,9,89,184,45,0.755434783,0.765625,0.711538462,68.1816,40.722720720720716
Machakos,46,1892,1890,385,0.796296296,0.80948851,0.765384615,,40.722720720720716
Makueni,52,1421,1434,281,0.80404463,0.82791587,0.746073298,,40.722720720720716
Mandera,0,0,0,0,,,,0.3635,40.722720720720716
Marsabit,2,80,70,4,0.942857143,0.9411764709999999,0.9411764709999999,8.047,0.0
Meru,31,724,868,174,0.7995391709999999,0.8007246379999999,0.803333333,,40.722720720720716
Migori,109,5153,5962,942,0.8419993290000001,0.8569971959999999,0.8408323959999999,,56.52
Mombasa,47,4007,1052,201,0.808935361,0.808219178,0.809677419,,40.722720720720716
Muranga,32,1209,999,125,0.874874875,0.8879432620000001,0.8487972509999999,,40.722720720720716
Nairobi,154,12653,10001,1460,0.8540145990000001,0.8710961420000001,0.848057644,,40.722720720720716
Nakuru,59,2771,3536,853,0.758766968,0.775157895,0.744761905,,40.722720720720716
Nandi,24,769,984,240,0.7560975609999999,0.794871795,0.777027027,,40.722720720720716
Narok,34,693,788,169,0.785532995,0.812623274,0.794238683,,40.722720720720716
Nyamira,67,702,1574,492,0.6874205840000001,0.727530747,0.652873563,,40.722720720720716
Nyandarua,25,327,383,75,0.8041775459999999,0.813492063,0.7890625,,40.722720720720716
Nyeri,32,1515,1386,158,0.886002886,0.898305085,0.8634259259999999,,50.0
Samburu,1,16,76,47,0.38157894700000006,0.41666666700000005,0.333333333,2.7922,40.722720720720716
Siaya,140,9021,8390,1905,0.772943981,0.804083885,0.759569378,,0.0
Taita Taveta,23,201,302,86,0.715231788,0.76076555,0.608695652,,40.722720720720716
Tana River,3,10,9,3,0.666666667,0.7142857140000001,0.5,80.1662,40.722720720720716
Tharaka Nithi,12,417,276,72,0.739130435,0.770053476,0.6785714290000001,,40.722720720720716
Trans Nzoia,15,936,965,239,0.7523316059999999,0.7793650790000001,0.7597173140000001,,40.722720720720716
Turkana,26,547,579,255,0.5595854920000001,0.617391304,0.5202312139999999,,57.06
Uasin Gishu,29,3088,3036,809,0.733530962,0.792822186,0.7269624570000001,30.3659,40.722720720720716
Vihiga,36,1164,2030,583,0.712807882,0.767005473,0.681742044,,40.722720720720716
Wajir,1,1,1,0,1.0,,1.0,0.0,40.722720720720716
West Pokot,12,235,249,91,0.6345381529999999,0.649006623,0.629213483,27.557,40.722720720720716
