County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,16,344,297,65,0.781144781,0.8736263740000001,0.8589743590000001,210.0202,40.722720720720716
Bomet,50,742,784,136,0.826530612,0.8361581920000001,0.817021277,,40.722720720720716
Bungoma,64,2703,2775,542,0.804684685,0.824821246,0.777166437,,40.722720720720716
Busia,45,3830,4026,577,0.85668157,0.8922155690000001,0.8693693690000001,,40.722720720720716
Elgeyo Marakwet,21,217,200,41,0.795,0.867647059,0.673076923,,40.722720720720716
Embu,24,901,1045,163,0.844019139,0.852503383,0.831578947,,40.722720720720716
Garissa,9,220,196,26,0.867346939,0.898550725,0.811320755,229.9953,40.722720720720716
Homa Bay,175,10913,10758,1532,0.857594348,0.881248235,0.853896104,,40.722720720720716
Isiolo,3,172,162,36,0.7777777779999999,0.821782178,0.711864407,,40.722720720720716
Kajiado,26,961,1128,187,0.834219858,0.8720770290000001,0.8409090909999999,,60.0
Kakamega,125,3978,4313,743,0.827730118,0.858461538,0.81793722,,37.5
Kericho,33,1101,1244,237,0.809485531,0.825595985,0.8320802009999999,,40.722720720720716
Kiambu,63,3673,3824,366,0.904288703,0.9076335879999999,0.897219882,,50.0
Kilifi,46,1963,1815,299,0.835261708,0.856714179,0.77510917,,40.722720720720716
Kirinyaga,30,1013,965,120,0.8756476679999999,0.893553223,0.866171004,,40.722720720720716
Kisii,99,2490,3294,393,0.8806921679999999,0.893847487,0.875139353,,40.722720720720716
Kisumu,129,10882,11448,1417,0.876222921,0.9023721379999999,0.8752520890000001,,40.722720720720716
Kitui,63,1529,1826,267,0.8537787509999999,0.89609375,0.8659090909999999,,40.722720720720716
Kwale,19,1111,1010,149,0.852475248,0.8666666670000001,0.807692308,,60.0
Laikipia,18,707,958,148,0.845511482,0.868131868,0.817869416,,40.722720720720716
Lamu,10,154,139,24,0.827338129,0.826086957,0.826086957,3.6377,40.722720720720716
Machakos,55,2629,3176,474,0.850755668,0.90625,0.897597977,,40.722720720720716
Makueni,57,1790,1956,327,0.832822086,0.880970432,0.839920949,,40.722720720720716
Mandera,3,47,47,14,0.70212766,0.607142857,0.8125,82.2073,40.722720720720716
Marsabit,6,77,76,32,0.578947368,0.6,0.541666667,86.1409,48.0
Meru,42,1716,1983,314,0.84165406,0.8561643840000001,0.810897436,,40.722720720720716
Migori,108,6514,6950,801,0.884748201,0.9036515620000001,0.88956481,,38.72
Mombasa,47,3249,3035,446,0.8530477759999999,0.8583132529999999,0.846645367,,40.722720720720716
Muranga,30,1007,1096,125,0.885948905,0.889322917,0.8792569659999999,,40.722720720720716
Nairobi,163,15456,13645,1724,0.873653353,0.883105328,0.8754890679999999,,40.722720720720716
Nakuru,75,3582,4302,641,0.850999535,0.901361796,0.872062663,,40.722720720720716
Nandi,19,689,743,116,0.8438761779999999,0.871369295,0.793969849,,40.722720720720716
Narok,33,741,857,158,0.8156359390000001,0.86101083,0.818181818,,40.722720720720716
Nyamira,61,1153,1357,266,0.803979366,0.8086680759999999,0.816,,40.722720720720716
Nyandarua,31,502,676,96,0.8579881659999999,0.858672377,0.873096447,,40.722720720720716
Nyeri,36,1786,1758,194,0.889647327,0.898538961,0.8694817659999999,,70.0
Samburu,7,204,319,122,0.617554859,0.6974358970000001,0.604651163,81.1287,40.722720720720716
Siaya,138,6928,7834,1453,0.814526423,0.863792364,0.824884793,,53.69
Taita Taveta,21,614,727,114,0.843191197,0.854581673,0.819004525,,40.722720720720716
Tana River,4,43,54,10,0.814814815,0.85106383,0.666666667,0.456,40.722720720720716
Tharaka Nithi,18,769,987,168,0.8297872340000001,0.834586466,0.8151815179999999,,40.722720720720716
Trans Nzoia,26,1204,1164,264,0.773195876,0.802910053,0.806451613,,40.722720720720716
Turkana,36,945,946,345,0.635306554,0.65654649,0.6840277779999999,,54.99
Uasin Gishu,33,2701,2622,522,0.800915332,0.849289685,0.7807807809999999,407.4559,40.722720720720716
Vihiga,38,1255,1355,242,0.821402214,0.843568946,0.808457711,,40.722720720720716
Wajir,0,0,15,0,1.0,1.0,1.0,94.4805,40.722720720720716
West Pokot,12,319,294,48,0.8367346940000001,0.875,0.764705882,254.5303,40.722720720720716
