County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,15,102,203,43,0.78817734,0.802721088,0.754716981,596.3724,40.722720720720716
Bomet,34,410,423,100,0.763593381,0.773333333,0.745614035,,32.5
Bungoma,40,1095,825,161,0.804848485,0.822299652,0.7792207790000001,,40.722720720720716
Busia,27,890,1287,211,0.8360528359999999,0.85495283,0.801886792,,40.722720720720716
Elgeyo Marakwet,7,50,46,6,0.869565217,0.846153846,0.933333333,,40.722720720720716
Embu,24,399,673,107,0.8410104009999999,0.851116625,0.797979798,,40.722720720720716
Garissa,6,30,75,15,0.8,0.875,0.588235294,402.6549,40.722720720720716
Homa Bay,164,3259,7953,1277,0.839431661,0.8501696190000001,0.823131955,,40.722720720720716
Isiolo,5,56,92,25,0.72826087,0.701754386,0.757575758,,40.722720720720716
Kajiado,22,500,930,162,0.825806452,0.820919176,0.835164835,,50.0
Kakamega,78,1501,1393,261,0.812634602,0.825025432,0.803149606,,31.5
Kericho,26,614,572,108,0.811188811,0.8123076920000001,0.830601093,,40.722720720720716
Kiambu,53,1784,2745,344,0.874681239,0.86987041,0.8825665859999999,,40.0
Kilifi,27,592,653,117,0.820826953,0.81981982,0.828877005,,40.722720720720716
Kirinyaga,8,496,800,90,0.8875,0.9005628520000001,0.894514768,,40.722720720720716
Kisii,76,1044,1000,233,0.767,0.769345238,0.7857142859999999,,40.722720720720716
Kisumu,104,4008,6036,991,0.835818423,0.84977985,0.827233584,,40.722720720720716
Kitui,68,999,2204,363,0.835299456,0.844387755,0.800356506,,40.722720720720716
Kwale,16,178,239,55,0.769874477,0.804469274,0.660714286,,38.5
Laikipia,15,351,570,82,0.856140351,0.8427672959999999,0.81443299,,40.722720720720716
Lamu,5,54,53,14,0.735849057,0.805555556,0.5625,198.9109,40.722720720720716
Machakos,47,1101,2240,381,0.829910714,0.846153846,0.8012422359999999,,40.722720720720716
Makueni,59,511,2417,344,0.857674803,0.8723099,0.807619048,,40.722720720720716
Mandera,2,31,29,16,0.448275862,0.41176470600000004,0.571428571,277.3353,40.722720720720716
Marsabit,5,89,147,31,0.789115646,0.7777777779999999,0.790697674,231.7808,37.33
Meru,40,768,1446,201,0.860995851,0.86845039,0.843091335,,40.722720720720716
Migori,103,2217,5613,784,0.860324247,0.866227442,0.839483395,,30.43
Mombasa,35,2038,1744,318,0.81766055,0.830868762,0.811111111,,40.722720720720716
Muranga,33,851,1286,184,0.8569206840000001,0.867791842,0.8575851390000001,,40.722720720720716
Nairobi,136,4445,9242,1141,0.876541874,0.8756842659999999,0.868973132,,40.722720720720716
Nakuru,55,1618,2421,437,0.819496076,0.824940048,0.809722222,,40.722720720720716
Nandi,22,399,690,141,0.7956521740000001,0.797441365,0.808411215,,40.722720720720716
Narok,25,396,482,142,0.7053941909999999,0.730434783,0.6722689079999999,,40.722720720720716
Nyamira,55,982,619,133,0.785137318,0.79954955,0.7633136090000001,,40.722720720720716
Nyandarua,27,346,544,82,0.8492647059999999,0.860534125,0.841463415,,40.722720720720716
Nyeri,35,726,1438,194,0.865090403,0.8594104309999999,0.865435356,,47.62
Samburu,6,69,45,19,0.577777778,0.666666667,0.272727273,302.2646,40.722720720720716
Siaya,133,3214,5477,1150,0.790031039,0.793478261,0.78452381,,29.81
Taita Taveta,25,187,320,64,0.8,0.841860465,0.797468354,,40.722720720720716
Tana River,7,83,113,31,0.725663717,0.75,0.642857143,197.8014,40.722720720720716
Tharaka Nithi,13,370,626,115,0.81629393,0.81372549,0.8191489359999999,,40.722720720720716
Trans Nzoia,11,343,554,143,0.741877256,0.76744186,0.690322581,,40.722720720720716
Turkana,15,112,241,92,0.618257261,0.644736842,0.5697674420000001,,40.722720720720716
Uasin Gishu,18,890,1559,433,0.722257858,0.7170731709999999,0.73358349,1008.9601,40.722720720720716
Vihiga,28,678,669,131,0.804185351,0.809935205,0.794594595,,40.722720720720716
Wajir,1,0,5,2,0.6,0.666666667,0.5,261.2593,40.722720720720716
West Pokot,4,50,18,5,0.7222222220000001,0.75,0.666666667,647.8561,40.722720720720716
