County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,10,159,102,27,0.735294118,0.75,0.705882353,597.4926,40.722720720720716
Bomet,42,595,403,76,0.811414392,0.816254417,0.810810811,,36.0
Bungoma,69,2210,2854,647,0.7733006309999999,0.799886621,0.734375,,40.722720720720716
Busia,46,3581,4675,959,0.79486631,0.8113448059999999,0.764909847,,40.722720720720716
Elgeyo Marakwet,20,241,315,88,0.7206349209999999,0.76146789,0.6333333329999999,,40.722720720720716
Embu,21,713,580,126,0.7827586209999999,0.7962466490000001,0.7555555559999999,,40.722720720720716
Garissa,5,110,126,24,0.80952381,0.813953488,0.815789474,203.8675,40.722720720720716
Homa Bay,164,6114,6232,1044,0.832477535,0.8505494509999999,0.8127530359999999,,40.722720720720716
Isiolo,2,25,94,21,0.776595745,0.836065574,0.653846154,,40.722720720720716
Kajiado,26,581,489,93,0.8098159509999999,0.813609467,0.7952755909999999,,46.25
Kakamega,120,4068,5537,1179,0.78706881,0.7981004070000001,0.768258427,,30.83
Kericho,33,905,734,129,0.824250681,0.838,0.827906977,,40.722720720720716
Kiambu,55,2624,2365,323,0.863424947,0.872865275,0.8546433379999999,,40.0
Kilifi,42,1030,905,155,0.8287292820000001,0.827242525,0.828897338,,40.722720720720716
Kirinyaga,10,716,472,54,0.88559322,0.88,0.9173553720000001,,40.722720720720716
Kisii,110,2452,1874,361,0.807363927,0.815276695,0.8189300409999999,,40.722720720720716
Kisumu,116,7396,9202,1623,0.823625299,0.837364178,0.809926082,,40.722720720720716
Kitui,45,839,743,119,0.839838493,0.86083499,0.787037037,,40.722720720720716
Kwale,24,376,189,42,0.7777777779999999,0.820895522,0.705882353,,32.5
Laikipia,17,367,258,38,0.852713178,0.867816092,0.817073171,,40.722720720720716
Lamu,9,200,171,41,0.760233918,0.7699115040000001,0.754385965,7.5198,40.722720720720716
Machakos,43,1117,816,179,0.780637255,0.8049645390000001,0.732057416,,40.722720720720716
Makueni,47,988,838,145,0.826968974,0.847972973,0.787330317,,40.722720720720716
Mandera,3,38,37,15,0.594594595,0.7,0.28571428600000004,172.2459,40.722720720720716
Marsabit,4,82,54,17,0.685185185,0.7435897440000001,0.571428571,185.9905,38.5
Meru,44,1335,1156,174,0.849480969,0.8663171690000001,0.830555556,,40.722720720720716
Migori,107,4359,4580,617,0.8652838429999999,0.877462437,0.8708751790000001,,30.43
Mombasa,44,3576,3627,683,0.811690102,0.810441767,0.8145087240000001,,40.722720720720716
Muranga,33,784,780,127,0.837179487,0.867674858,0.7764227640000001,,40.722720720720716
Nairobi,149,11965,9257,1680,0.818515718,0.832019198,0.82246024,,40.722720720720716
Nakuru,66,2191,1618,386,0.7614338690000001,0.773416592,0.7418032790000001,,40.722720720720716
Nandi,23,750,670,139,0.792537313,0.813901345,0.762135922,,40.722720720720716
Narok,29,397,321,77,0.760124611,0.737991266,0.817073171,,40.722720720720716
Nyamira,83,898,641,173,0.730109204,0.776566757,0.6375,,40.722720720720716
Nyandarua,31,499,398,59,0.8517587940000001,0.908088235,0.7333333329999999,,40.722720720720716
Nyeri,32,1286,1130,149,0.8681415929999999,0.8711819390000001,0.8647887320000001,,47.62
Samburu,3,15,27,17,0.37037037,0.473684211,0.2,231.956,40.722720720720716
Siaya,109,1982,2888,637,0.7794321329999999,0.794263651,0.765756303,,29.81
Taita Taveta,26,574,312,80,0.7435897440000001,0.767857143,0.666666667,,40.722720720720716
Tana River,6,52,47,18,0.617021277,0.533333333,0.764705882,0.7722,40.722720720720716
Tharaka Nithi,15,604,557,98,0.8240574509999999,0.8441558440000001,0.792682927,,40.722720720720716
Trans Nzoia,20,1085,1321,302,0.7713853140000001,0.802771855,0.7299703259999999,,40.722720720720716
Turkana,33,611,637,280,0.56043956,0.589595376,0.573033708,,40.722720720720716
Uasin Gishu,27,2482,2901,828,0.7145811790000001,0.7401452279999999,0.684820394,905.3043,40.722720720720716
Vihiga,37,1012,1646,326,0.8019441070000001,0.83045977,0.7734375,,40.722720720720716
Wajir,0,0,2,1,0.5,0.0,1.0,162.2224,40.722720720720716
West Pokot,11,189,289,80,0.723183391,0.762162162,0.635416667,563.7614,40.722720720720716
