County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,7,75,29,11,0.620689655,0.590909091,0.833333333,236.5487,40.722720720720716
Bomet,24,500,505,89,0.8237623759999999,0.824046921,0.8355263159999999,,36.42
Bungoma,38,904,1034,150,0.854932302,0.865384615,0.76,,40.722720720720716
Busia,34,2134,1909,253,0.86746988,0.853658537,0.933333333,,40.722720720720716
Elgeyo Marakwet,6,141,74,3,0.9594594590000001,0.9607843140000001,0.954545455,,40.722720720720716
Embu,12,438,167,34,0.7964071859999999,0.846153846,0.7540983609999999,,40.722720720720716
Garissa,4,61,27,2,0.9259259259999999,0.9375,1.0,195.8176,40.722720720720716
Homa Bay,129,5678,4671,786,0.8317276809999999,0.813257882,0.791262136,,40.722720720720716
Isiolo,2,125,31,10,0.677419355,0.7222222220000001,0.625,,40.722720720720716
Kajiado,13,532,370,60,0.837837838,0.848,0.817391304,,40.0
Kakamega,73,1302,1153,153,0.8673026890000001,0.764705882,0.7,,34.91
Kericho,33,855,794,179,0.7745591940000001,0.7945205479999999,0.786610879,,40.722720720720716
Kiambu,28,2767,1745,201,0.8848137540000001,0.8896611640000001,0.880733945,,40.0
Kilifi,8,334,277,44,0.841155235,0.899328859,0.7857142859999999,,40.722720720720716
Kirinyaga,11,299,405,53,0.8691358020000001,0.8741258740000001,0.857142857,,40.722720720720716
Kisii,91,1580,1877,432,0.769845498,0.788181818,0.729490022,,40.722720720720716
Kisumu,80,6002,4873,596,0.8776934129999999,0.8782578879999999,0.879211697,,40.722720720720716
Kitui,28,789,338,52,0.846153846,0.839622642,0.7820512820000001,,40.722720720720716
Kwale,4,98,42,10,0.761904762,0.787878788,0.666666667,,31.11
Laikipia,9,322,153,29,0.8104575159999999,0.8620689659999999,0.826086957,,40.722720720720716
Lamu,4,94,68,4,0.9411764709999999,0.94,0.933333333,401.3856,40.722720720720716
Machakos,38,1997,550,101,0.816363636,0.8157248159999999,0.804878049,,40.722720720720716
Makueni,39,824,386,75,0.8056994820000001,0.8073770490000001,0.705128205,,40.722720720720716
Mandera,0,0,0,0,,,,142.0168,40.722720720720716
Marsabit,3,43,31,9,0.709677419,0.75,0.333333333,131.6116,40.2
Meru,25,1193,728,93,0.872252747,0.879310345,0.877358491,,40.722720720720716
Migori,92,4727,3819,574,0.8496988740000001,0.835511983,0.822079314,,32.0
Mombasa,30,2131,1542,297,0.8073929959999999,0.8282208590000001,0.844262295,,40.722720720720716
Muranga,6,1493,109,22,0.798165138,0.8045977009999999,0.793103448,,40.722720720720716
Nairobi,112,7505,3795,576,0.848221344,0.840833333,0.8694267520000001,,40.722720720720716
Nakuru,27,1552,817,152,0.813953488,0.818827709,0.7932692309999999,,40.722720720720716
Nandi,19,609,526,115,0.7813688209999999,0.8029411759999999,0.74556213,,40.722720720720716
Narok,18,606,320,92,0.7125,0.7363184079999999,0.705357143,,40.722720720720716
Nyamira,47,562,698,100,0.856733524,0.8,1.0,,40.722720720720716
Nyandarua,13,294,105,20,0.80952381,0.8,0.852941176,,40.722720720720716
Nyeri,12,1630,269,37,0.8624535320000001,0.86440678,0.875,,49.43
Samburu,1,46,25,5,0.8,0.875,0.833333333,161.1428,40.722720720720716
Siaya,109,5143,2952,552,0.81300813,0.809076682,0.817477876,,27.23
Taita Taveta,15,322,249,30,0.879518072,0.8969696970000001,0.847457627,,40.722720720720716
Tana River,5,111,56,16,0.7142857140000001,0.736842105,0.7142857140000001,371.4791,40.722720720720716
Tharaka Nithi,10,272,103,23,0.7766990290000001,0.79245283,0.666666667,,40.722720720720716
Trans Nzoia,8,583,582,134,0.76975945,0.778606965,0.748603352,,40.722720720720716
Turkana,11,263,142,40,0.7183098590000001,0.709677419,0.775,,40.722720720720716
Uasin Gishu,15,2708,2389,456,0.809125157,0.811285266,0.805333333,353.6285,40.722720720720716
Vihiga,28,691,797,65,0.9184441659999999,0.6,,,40.722720720720716
Wajir,0,2,0,0,,,,119.1345,40.722720720720716
West Pokot,5,122,22,5,0.772727273,0.75,0.833333333,303.974,40.722720720720716
