County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,9,165,112,41,0.633928571,0.564516129,0.723404255,295.4369,40.722720720720716
Bomet,26,451,302,60,0.801324503,0.80952381,0.787037037,,36.42
Bungoma,34,641,544,76,0.860294118,0.8576388890000001,0.7952755909999999,,40.722720720720716
Busia,29,1712,1379,181,0.868745468,0.878712871,0.884615385,,40.722720720720716
Elgeyo Marakwet,3,163,46,10,0.7826086959999999,0.756756757,0.875,,40.722720720720716
Embu,23,731,917,153,0.833151581,0.8503649640000001,0.80334728,,40.722720720720716
Garissa,6,48,90,20,0.7777777779999999,0.75,0.80952381,224.2903,40.722720720720716
Homa Bay,133,4627,3995,616,0.8458072590000001,0.8544474390000001,0.815550041,,40.722720720720716
Isiolo,7,152,246,46,0.81300813,0.797468354,0.775510204,,40.722720720720716
Kajiado,18,604,740,143,0.806756757,0.8079999999999999,0.80349345,,40.0
Kakamega,65,1596,1160,87,0.925,0.9246231159999999,0.895522388,,39.05
Kericho,27,738,529,117,0.7788279770000001,0.816608997,0.818181818,,40.722720720720716
Kiambu,51,1505,2813,368,0.869178813,0.862493312,0.883388339,,40.0
Kilifi,18,494,358,84,0.765363128,0.76056338,0.723404255,,40.722720720720716
Kirinyaga,10,108,213,34,0.840375587,0.832214765,0.859375,,40.722720720720716
Kisii,78,1503,1343,270,0.798957558,0.812415655,0.780346821,,40.722720720720716
Kisumu,76,7147,4235,484,0.8857142859999999,0.891584534,0.879562044,,40.722720720720716
Kitui,55,921,1288,250,0.8059006209999999,0.8217934170000001,0.801393728,,40.722720720720716
Kwale,7,22,32,12,0.625,0.75,0.4,,30.0
Laikipia,11,313,419,64,0.84725537,0.8558558559999999,0.8311688309999999,,40.722720720720716
Lamu,2,42,13,0,1.0,,,407.6954,40.722720720720716
Machakos,57,1458,2518,388,0.845909452,0.8651079140000001,0.8204022990000001,,40.722720720720716
Makueni,50,815,1133,221,0.80494263,0.811678832,0.7638888890000001,,40.722720720720716
Mandera,1,18,18,9,0.5,0.5555555560000001,0.666666667,142.4934,40.722720720720716
Marsabit,5,115,119,22,0.81512605,0.8072289159999999,0.7857142859999999,132.4326,43.0
Meru,30,1349,1872,260,0.8611111109999999,0.860103627,0.875255624,,40.722720720720716
Migori,94,5169,3521,513,0.854302755,0.864694471,0.827476038,,32.0
Mombasa,37,3821,2871,476,0.83420411,0.811235955,0.79787234,,40.722720720720716
Muranga,27,302,992,155,0.84375,0.836833603,0.8208333329999999,,40.722720720720716
Nairobi,128,6776,7556,1030,0.863684489,0.8622240390000001,0.867909238,,40.722720720720716
Nakuru,52,1437,2200,373,0.830454545,0.8409556309999999,0.8174962290000001,,40.722720720720716
Nandi,21,552,360,103,0.713888889,0.74025974,0.633928571,,40.722720720720716
Narok,26,503,601,139,0.768718802,0.78250591,0.760479042,,40.722720720720716
Nyamira,22,257,254,21,0.917322835,0.9375,0.727272727,,40.722720720720716
Nyandarua,24,597,642,94,0.853582555,0.859042553,0.8684210529999999,,40.722720720720716
Nyeri,32,499,1219,191,0.843314192,0.868975904,0.82972973,,48.81
Samburu,2,23,40,9,0.775,0.7777777779999999,0.833333333,176.4475,40.722720720720716
Siaya,121,5546,4181,934,0.7766084670000001,0.777859238,0.768018018,,27.23
Taita Taveta,16,209,306,51,0.833333333,0.8620689659999999,0.7857142859999999,,40.722720720720716
Tana River,6,47,97,18,0.81443299,0.803030303,0.838709677,373.1877,40.722720720720716
Tharaka Nithi,15,332,420,76,0.819047619,0.828358209,0.740384615,,40.722720720720716
Trans Nzoia,8,510,278,51,0.816546763,0.833333333,0.767123288,,40.722720720720716
Turkana,21,454,576,184,0.680555556,0.666666667,0.598360656,,40.722720720720716
Uasin Gishu,12,1729,1586,284,0.820933165,0.828837209,0.805611222,449.7606,40.722720720720716
Vihiga,21,559,504,60,0.880952381,0.9226190479999999,0.8533333329999999,,40.722720720720716
Wajir,2,14,8,4,0.5,0.5,0.666666667,128.24,40.722720720720716
West Pokot,5,125,96,18,0.8125,0.7761194029999999,0.96,339.6041,40.722720720720716
