County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,8,146,153,43,0.718954248,0.73,0.7142857140000001,339.2668,40.722720720720716
Bomet,28,493,486,103,0.788065844,0.789830508,0.781420765,,36.42
Bungoma,34,1211,723,140,0.8063623790000001,0.8125,0.801020408,,40.722720720720716
Busia,32,2828,2453,402,0.836119038,0.8392857140000001,0.829172142,,40.722720720720716
Elgeyo Marakwet,6,154,201,25,0.875621891,0.887323944,0.8392857140000001,,40.722720720720716
Embu,16,629,612,98,0.8398692809999999,0.860406091,0.802139037,,40.722720720720716
Garissa,5,46,41,17,0.585365854,0.642857143,0.454545455,225.5431,40.722720720720716
Homa Bay,152,5931,4793,886,0.81514709,0.822160149,0.800680272,,40.722720720720716
Isiolo,4,56,40,11,0.725,0.772727273,0.727272727,,40.722720720720716
Kajiado,18,773,638,144,0.7742946709999999,0.7912844040000001,0.747252747,,40.0
Kakamega,89,2465,2351,410,0.825606125,0.83919598,0.7969798659999999,,39.05
Kericho,34,801,741,174,0.765182186,0.797029703,0.796116505,,40.722720720720716
Kiambu,46,1483,2464,343,0.860795455,0.85668173,0.857328145,,40.0
Kilifi,25,627,479,102,0.787056367,0.780821918,0.7692307690000001,,40.722720720720716
Kirinyaga,15,547,426,81,0.809859155,0.821052632,0.787401575,,40.722720720720716
Kisii,95,1967,1515,349,0.769636964,0.795454545,0.75862069,,40.722720720720716
Kisumu,97,7684,6004,1013,0.831279147,0.847692718,0.8284806779999999,,40.722720720720716
Kitui,49,567,621,140,0.7745571659999999,0.8210784309999999,0.703030303,,40.722720720720716
Kwale,12,181,105,23,0.780952381,0.830985915,0.65,,30.0
Laikipia,8,381,358,53,0.851955307,0.875,0.75,,40.722720720720716
Lamu,6,45,65,11,0.8307692309999999,0.9347826090000001,0.5,4.797,40.722720720720716
Machakos,47,1356,1207,227,0.811930406,0.8210023870000001,0.80733945,,40.722720720720716
Makueni,38,616,510,91,0.821568627,0.8263665590000001,0.81512605,,40.722720720720716
Mandera,0,0,0,0,,,,142.4934,40.722720720720716
Marsabit,5,108,95,24,0.7473684209999999,0.7551020409999999,0.7105263159999999,132.6256,43.0
Meru,41,1479,1387,221,0.8406633020000001,0.848614072,0.829145729,,40.722720720720716
Migori,99,4956,4670,682,0.853961456,0.857954545,0.8358862140000001,,32.0
Mombasa,38,2276,2273,394,0.826660801,0.80764774,0.774725275,,40.722720720720716
Muranga,25,1313,1223,167,0.8634505309999999,0.87007874,0.851662404,,40.722720720720716
Nairobi,128,6288,7478,971,0.870152447,0.867706645,0.8773424190000001,,40.722720720720716
Nakuru,44,1776,1388,251,0.819164265,0.830907055,0.803652968,,40.722720720720716
Nandi,19,642,721,184,0.74479889,0.768916155,0.712264151,,40.722720720720716
Narok,27,422,396,82,0.7929292929999999,0.8014705879999999,0.803418803,,40.722720720720716
Nyamira,40,550,431,83,0.8074245940000001,0.8051118209999999,0.776859504,,40.722720720720716
Nyandarua,20,419,358,56,0.8435754190000001,0.8530612240000001,0.8666666670000001,,40.722720720720716
Nyeri,33,733,1095,157,0.856621005,0.849544073,0.853658537,,48.81
Samburu,2,47,24,11,0.541666667,0.41176470600000004,0.8,185.1066,40.722720720720716
Siaya,118,5534,4145,779,0.812062726,0.811231884,0.815726767,,27.23
Taita Taveta,19,403,239,56,0.765690377,0.79338843,0.788461538,,40.722720720720716
Tana River,2,24,9,4,0.5555555560000001,0.428571429,1.0,5.1207,40.722720720720716
Tharaka Nithi,15,523,518,109,0.78957529,0.811550152,0.7660818709999999,,40.722720720720716
Trans Nzoia,14,783,806,151,0.812655087,0.8302583029999999,0.780082988,,40.722720720720716
Turkana,14,634,361,120,0.667590028,0.659090909,0.6435643560000001,,40.722720720720716
Uasin Gishu,18,1925,3015,647,0.7854063020000001,0.782523319,0.787444934,542.5596,40.722720720720716
Vihiga,30,773,709,136,0.808180536,0.822175732,0.7826086959999999,,40.722720720720716
Wajir,2,43,27,5,0.814814815,0.857142857,0.8,128.7466,40.722720720720716
West Pokot,4,183,195,20,0.897435897,0.9,0.8852459020000001,399.2498,40.722720720720716
