County,Facilities Sending Samples,Received Samples at Lab,Total Test Valid Outcomes,Total Test Valid Outcomes gt 1000,Suppression Total Test Valid Outcomes,Suppression Female tests,Suppression Male tests,Rain,Maize
Baringo,17,329,420,109,0.74047619,0.725085911,0.770491803,401.2723,40.722720720720716
Bomet,42,637,811,179,0.779284834,0.794444444,0.771084337,,36.0
Bungoma,61,2003,1759,430,0.7555429220000001,0.766629087,0.703333333,,40.722720720720716
Busia,46,2720,3236,858,0.7348578490000001,0.7419354840000001,0.720192308,,40.722720720720716
Elgeyo Marakwet,22,251,203,55,0.729064039,0.7304964540000001,0.736842105,,40.722720720720716
Embu,25,1000,861,174,0.797909408,0.816849817,0.7671755729999999,,40.722720720720716
Garissa,7,120,116,19,0.8362068970000001,0.845238095,0.8636363640000001,203.0795,40.722720720720716
Homa Bay,175,8283,10104,1613,0.840360253,0.855654537,0.830374128,,40.722720720720716
Isiolo,8,196,232,49,0.7887931029999999,0.807692308,0.739130435,,40.722720720720716
Kajiado,29,903,985,220,0.7766497459999999,0.780898876,0.7580645159999999,,35.0
Kakamega,105,2546,2862,664,0.76799441,0.79614486,0.727140784,,38.47
Kericho,31,950,1140,217,0.8096491229999999,0.815789474,0.81043956,,40.722720720720716
Kiambu,52,2695,3019,329,0.891023518,0.896802326,0.88482239,,40.0
Kilifi,49,1616,1323,320,0.758125472,0.7840531559999999,0.727272727,,40.722720720720716
Kirinyaga,9,704,897,145,0.8383500559999999,0.892491468,0.813333333,,40.722720720720716
Kisii,105,1976,2327,550,0.763644177,0.7677459529999999,0.770700637,,40.722720720720716
Kisumu,120,9148,7923,1294,0.836678026,0.850922953,0.827572347,,40.722720720720716
Kitui,73,2446,2692,466,0.826894502,0.84765826,0.7777777779999999,,40.722720720720716
Kwale,16,325,299,79,0.7357859529999999,0.757575758,0.666666667,,38.42
Laikipia,21,981,1135,169,0.851101322,0.8613333329999999,0.8366762179999999,,40.722720720720716
Lamu,1,4,0,0,,,,237.6276,40.722720720720716
Machakos,61,2813,3537,575,0.8374328529999999,0.852495544,0.81045082,,32.22
Makueni,47,1544,1823,358,0.803620406,0.821872411,0.767307692,,40.722720720720716
Mandera,0,0,0,0,,,,171.9873,40.722720720720716
Marsabit,8,117,129,40,0.689922481,0.62962963,0.76744186,173.5833,38.04
Meru,46,1408,1458,210,0.8559670779999999,0.865750529,0.860788863,,40.722720720720716
Migori,108,4521,4656,634,0.863831615,0.875288684,0.8508092890000001,,40.722720720720716
Mombasa,41,3271,2759,556,0.798477709,0.8006500540000001,0.79498861,,40.722720720720716
Muranga,32,1096,1271,162,0.8725413059999999,0.877380952,0.8666666670000001,,40.722720720720716
Nairobi,148,13696,13105,1782,0.8640213659999999,0.8701635940000001,0.873832955,,40.722720720720716
Nakuru,71,2795,3733,720,0.807125636,0.8180061820000001,0.783197832,,40.722720720720716
Nandi,22,887,925,220,0.762162162,0.7760497670000001,0.729411765,,40.722720720720716
Narok,36,847,818,231,0.7176039120000001,0.716814159,0.731601732,,38.72
Nyamira,81,1022,1558,314,0.7984595640000001,0.8176527640000001,0.7756232690000001,,40.722720720720716
Nyandarua,29,798,899,105,0.88320356,0.897084048,0.858695652,,40.722720720720716
Nyeri,31,1091,1300,187,0.8561538459999999,0.862921348,0.8525,,31.47
Samburu,11,220,179,69,0.61452514,0.627118644,0.574074074,203.1445,40.722720720720716
Siaya,141,9898,9701,1476,0.847850737,0.858748244,0.831496063,,31.78
Taita Taveta,21,364,263,39,0.851711027,0.846153846,0.860465116,,40.722720720720716
Tana River,11,211,227,67,0.704845815,0.742138365,0.6415094339999999,204.2598,40.722720720720716
Tharaka Nithi,19,937,824,149,0.819174757,0.8270676690000001,0.8403361340000001,,40.722720720720716
Trans Nzoia,17,918,694,170,0.755043228,0.748927039,0.7826086959999999,,40.722720720720716
Turkana,29,618,527,198,0.624288425,0.624203822,0.620111732,,27.87
Uasin Gishu,27,2703,2150,612,0.7153488370000001,0.72825354,0.703645008,555.726,40.722720720720716
Vihiga,40,1310,1623,355,0.781269254,0.782446312,0.791836735,,40.722720720720716
Wajir,3,13,15,1,0.933333333,0.875,1.0,161.6223,40.722720720720716
West Pokot,10,259,211,65,0.691943128,0.695364238,0.72,395.0408,40.722720720720716
